OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
CALSPHERE 1,1964-063C,2026-06-11T17:10:19.842816,13.76617552,.0024621,90.2237,71.6421,314.9099,109.6821,0,U,900,999,7067,.53163E-3,.531E-5,0
CALSPHERE 2,1964-063E,2026-06-11T16:57:59.156352,13.52899982,.0016738,90.2377,75.6635,240.6598,184.6084,0,U,902,999,85552,.1374E-4,.18E-6,0
LCS 1,1965-034C,2026-06-11T09:59:05.995104,9.89310747,.0012326,32.1362,190.7311,101.7365,258.4515,0,U,1361,999,20931,.27906E-2,.3E-6,0
TEMPSAT 1,1965-065E,2026-06-11T16:10:11.136000,13.33593748,.0067658,89.9991,212.5934,263.9501,223.2613,0,U,1512,999,95931,.5432E-4,.35E-6,0
CALSPHERE 4A,1965-065H,2026-06-11T15:11:36.090240,13.36277358,.0071663,89.8980,122.5425,118.1666,60.3413,0,U,1520,999,96196,.19212E-3,.11E-5,0
OPS 5712 (P/L 160),1967-053A,2026-06-11T16:49:12.964800,14.77648248,.0000866,69.9178,51.7431,271.1178,88.9870,0,U,2826,999,6542,.93699E-3,.6644E-4,0
LES-5,1967-066E,2026-06-11T15:49:59.818368,1.09425291,.0052238,2.6115,96.5000,214.0140,10.6926,0,U,2866,999,13097,0,-.39E-6,0
SURCAL 159,1967-053F,2026-06-11T15:43:27.914016,13.99601551,.0004948,69.9749,12.7415,138.9836,221.1645,0,U,2872,999,943,.78851E-4,.62E-6,0
OPS 5712 (P/L 153),1967-053H,2026-06-11T16:20:41.024832,13.96827626,.0008811,69.9726,127.1084,219.6563,140.3899,0,U,2874,999,602,.67152E-4,.4E-6,0
RIGIDSPHERE 2 (LCS 4),1971-067E,2026-06-11T16:39:24.533280,14.37861107,.0057683,87.6211,340.3358,250.3777,109.1190,0,U,5398,999,87309,.17904E-3,.568E-5,0
OSCAR 7 (AO-7),1974-089B,2026-06-11T15:38:07.790784,12.53697989,.0012513,101.9901,175.8403,140.4231,346.6371,0,U,7530,999,35982,.11383E-3,-.28E-6,0
STARLETTE,1975-010A,2026-06-11T16:03:59.521824,13.82350434,.020557,49.8221,126.3753,44.8163,316.9131,0,U,7646,999,59377,-.28467E-5,-.149E-5,0
LAGEOS 1,1976-039A,2026-06-09T16:51:28.700928,6.38664670,.00446742,109.8025,176.7750,303.8674,27.0721,0,U,8820,999,91265,0,.23E-6,0
PHASE 3B (AO-10),1983-058B,2026-06-07T04:08:14.383680,2.05872980,.60142661,25.9048,221.2242,112.9115,319.2048,0,U,14129,999,29528,0,-.194E-5,0
UOSAT 2 (UO-11),1984-021B,2026-06-11T17:13:11.459136,14.90769946,.0007126,97.8055,128.3534,190.9158,169.1907,0,U,14781,999,25631,.13072E-3,.1229E-4,0
AJISAI (EGS),1986-061A,2026-06-11T14:31:34.343040,12.44516804,.0011246,50.0062,164.5596,166.4205,312.1593,0,U,16908,999,47969,.14757E-3,-.76E-6,0
TDRS 3,1988-091B,2026-06-11T09:19:22.835136,1.00275420,.0038379,12.6066,341.0383,356.1165,13.5633,0,U,19548,999,12533,0,-.292E-5,0
COSMOS 1989 (ETALON 1),1989-001C,2026-06-11T09:03:51.552864,2.13155930,.0023318,64.9422,72.3941,217.5914,329.3763,0,U,19751,999,29124,0,-.31E-6,0
COSMOS 2024 (ETALON 2),1989-039C,2026-06-11T09:09:37.309248,2.13204513,.0020672,64.9386,310.7355,212.4983,134.1528,0,U,20026,999,28837,0,-.43E-6,0
FLTSATCOM 8 (USA 46),1989-077A,2026-06-11T08:42:39.096000,1.00280501,.0004612,12.4236,351.2015,51.3686,113.3494,0,U,20253,999,26050,0,-.36E-5,0
LUSAT (LO-19),1990-005G,2026-06-11T12:44:11.971968,14.34121495,.001082,98.8852,184.1803,218.5501,141.4911,0,U,20442,999,90158,.54261E-4,.105E-5,0
HST,1990-037B,2026-06-11T05:02:46.985856,15.30680019,.00019704,28.4707,121.4212,81.6673,278.4146,0,U,20580,999,78765,.1569585E-3,.5021E-4,0
SKYNET 4C,1990-079A,2026-06-11T04:50:51.491040,1.00274124,.0002401,13.3423,349.8525,96.2300,279.5546,0,U,20776,999,13083,0,.132E-5,0
TDRS 5,1991-054B,2026-06-11T06:21:38.281824,1.00272024,.0006288,14.0721,353.8212,274.7454,278.7573,0,U,21639,999,12765,0,.89E-6,0
LAGEOS 2,1992-070B,2026-06-04T12:03:15.111072,6.47293610,.0137811,52.6594,274.6781,181.7671,222.9416,0,U,22195,999,79460,0,-.9E-7,0
TDRS 6,1993-003B,2026-06-11T09:44:55.572000,1.00273497,.0007592,14.1828,357.1041,178.2276,184.8418,0,U,22314,999,12235,0,-.29E-5,0
SCD 1,1993-009B,2026-06-11T13:37:36.761376,14.46117050,.0042181,24.9685,242.2746,78.5920,305.7063,0,U,22490,999,76030,.47689E-4,.36E-5,0
UFO 2 (USA 95),1993-056A,2026-06-11T04:49:36.610752,1.00273868,.000619,11.8930,3.5906,6.7365,350.2453,0,U,22787,999,11848,0,.132E-5,0
STELLA,1993-061B,2026-06-11T17:39:22.968000,14.27470280,.0005336,98.7726,226.9681,249.6064,228.3563,0,U,22824,999,70399,.21133E-5,-.4E-6,0
EYESAT A (AO-27),1993-061C,2026-06-11T16:27:20.903040,14.30940798,.0009459,98.6880,230.1011,113.9652,246.2522,0,U,22825,999,70621,.45342E-4,.75E-6,0
ITAMSAT (IO-26),1993-061D,2026-06-11T16:00:03.917664,14.31367535,.0010074,98.6828,229.9990,99.3506,260.8816,0,U,22826,999,70652,.45822E-4,.77E-6,0
USA 99 (MILSTAR-1 1),1994-009A,2026-06-11T17:36:21.920256,0.98721443,.0001084,17.6184,27.7620,209.5321,322.3004,0,U,22988,999,3289,0,-.41E-6,0
RADIO ROSTO (RS15),1994-085A,2026-06-11T16:56:33.793152,11.27583608,.0155777,64.8187,312.0809,4.8901,355.3503,0,U,23439,999,29528,-.14331E-3,-.48E-6,0
UFO 4 (USA 108),1995-003A,2026-06-11T07:30:57.976128,1.00271727,.0003073,9.7104,13.2535,59.7526,111.5640,0,U,23467,999,11489,0,-.14E-6,0
TDRS 7,1995-035B,2026-06-11T16:43:29.874720,1.00265905,.001111,13.3794,348.2302,76.8820,174.7782,0,U,23613,999,11319,0,-.232E-5,0
USA 115 (MILSTAR-1 2),1995-060A,2026-06-11T12:47:25.780992,1.00365229,.000163,14.0708,3.7894,140.4948,211.3483,0,U,23712,999,3282,0,-.176E-5,0
POLAR,1996-013A,2026-06-10T21:00:17.076096,1.29846139,.6464299,79.8459,227.1261,209.2978,89.4613,0,U,23802,999,14477,0,.124E-5,0
INMARSAT 3-F1,1996-020A,2026-06-11T03:53:38.786208,0.99979598,.00036804,10.5893,46.6916,41.2926,141.1227,0,U,23839,999,11019,0,-.147E-5,0
USA 119,1996-029A,2026-06-11T11:12:28.501920,13.46214899,.0850864,63.3172,207.0741,49.0794,318.0799,0,U,23893,999,10450,.15439E-3,.836E-5,0
