OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
OSCAR 7 (AO-7),1974-089B,2026-08-10T21:16:37.576128,12.53698983,.00124482,101.9917,236.7044,28.5834,43.3300,0,U,7530,999,36737,.12683897E-3,-.26E-6,0
PHASE 3B (AO-10),1983-058B,2026-08-10T06:20:11.015232,2.05868929,.59930454,25.9576,210.6859,130.5130,299.5576,0,U,14129,999,29660,0,-.3E-7,0
UOSAT 2 (UO-11),1984-021B,2026-08-10T22:07:35.584896,14.90912813,.00079109,97.8107,187.9039,15.0509,345.0943,0,U,14781,999,26528,.86926579E-4,.802E-5,0
LUSAT (LO-19),1990-005G,2026-08-10T21:07:40.666656,14.34136924,.00123854,98.8845,246.1899,49.6994,310.5270,0,U,20442,999,91023,.30461963E-4,.39E-6,0
EYESAT A (AO-27),1993-061C,2026-08-10T17:59:57.276672,14.30954595,.00073632,98.6844,290.1334,304.7881,55.2608,0,U,22825,999,71480,.2490291E-4,.21E-6,0
ITAMSAT (IO-26),1993-061D,2026-08-10T17:06:51.007968,14.31382827,.00077259,98.6792,290.0197,285.4079,74.6250,0,U,22826,999,71511,.27062271E-4,.27E-6,0
RADIO ROSTO (RS15),1994-085A,2026-08-10T22:13:11.394048,11.27584062,.01579554,64.8131,214.6863,353.8697,6.0292,0,U,23439,999,30207,.32406106E-3,-.31E-6,0
JAS-2 (FO-29),1996-046B,2026-08-10T12:05:00.119040,13.53276714,.03490775,98.5200,63.9299,315.6307,41.7340,0,U,24278,999,48051,.3438422E-4,-.4E-7,0
TECHSAT 1B (GO-32),1998-043D,2026-08-10T22:10:32.054304,14.24437630,.00023187,99.0113,217.0737,72.9958,287.1474,0,U,25397,999,45912,.27349878E-4,.17E-6,0
ISS (ZARYA),1998-067A,2026-08-10T19:50:39.975648,15.49406443,.00074463,51.6327,29.6784,33.6486,326.4974,0,U,25544,999,58022,.79128954E-4,.3972E-4,0
PCSAT (NO-44),2001-043C,2026-08-10T22:01:34.109760,14.31973830,.00056728,67.0502,102.7135,268.9602,91.0850,0,U,26931,999,29828,.37000787E-4,.16E-6,0
