OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
ATLAS CENTAUR 2,1963-047A,2026-08-11T04:36:34.642368,14.12598296,.05455704,30.3552,51.7623,2.6178,357.7110,0,U,694,999,15348,.60972134E-4,.596E-5,0
THOR AGENA D R/B,1964-002A,2026-08-11T01:35:45.359808,14.34084967,.00330947,99.1156,244.7586,167.2293,192.9736,0,U,733,999,26042,.41308084E-4,.68E-6,0
SL-3 R/B,1964-053B,2026-08-11T06:43:01.687296,14.61450686,.00791236,65.0748,237.9722,243.7708,115.5243,0,U,877,999,28938,.20177466E-4,-.22E-6,0
SL-8 R/B,1967-045B,2026-08-11T05:41:49.590528,14.45706598,.00637011,74.0096,59.4373,28.8144,331.6507,0,U,2802,999,11135,.31246128E-4,.85E-6,0
SL-8 R/B,1968-040B,2026-08-11T07:52:55.602048,15.04068763,.00234283,74.0310,357.4935,137.8704,222.4291,0,U,3230,999,11325,.12420934E-3,.1686E-4,0
OAO 2,1968-110A,2026-08-11T02:30:35.186688,14.47369916,.0005488,34.9929,123.0356,348.4531,11.6033,0,U,3597,999,4148,.27221254E-4,.82E-6,0
ISIS 1,1969-009A,2026-08-11T06:00:02.414880,11.30440352,.17073521,88.4453,138.3569,137.0452,237.7431,0,U,3669,999,36599,.42309307E-4,.81E-6,0
SERT 2,1970-009A,2026-08-11T06:33:29.675232,13.58742928,.00055829,99.2842,158.0310,123.5695,358.0888,0,U,4327,999,80088,.49082717E-4,-.5E-7,0
SL-3 R/B,1971-028B,2026-08-11T05:29:53.664576,15.75127234,.00146346,81.2277,219.1803,95.3506,264.9425,0,U,5118,999,1289,.23450246E-3,.35308E-3,0
ASTEX 1,1971-089A,2026-08-10T23:18:45.655200,14.50889976,.00132002,92.7038,201.5061,286.3179,73.6576,0,U,5560,999,88467,.54466196E-4,.214E-5,0
SL-8 R/B,1971-119B,2026-08-11T07:52:22.217952,14.40050288,.05408043,73.8833,246.0653,180.8894,179.1363,0,U,5730,999,67773,.16881025E-3,.3267E-4,0
OAO 3 (COPERNICUS),1972-065A,2026-08-11T03:56:24.961920,14.60086440,.00067232,35.0051,137.1414,338.6286,166.9312,0,U,6153,999,86878,.27325858E-4,.112E-5,0
ATLAS CENTAUR R/B,1972-065B,2026-08-11T03:09:07.899552,14.78000420,.00341734,35.0008,120.4086,231.3137,128.4504,0,U,6155,999,86412,.55846167E-4,.39E-5,0
SL-8 R/B,1975-112B,2026-08-11T03:06:44.164512,14.38266969,.0015163,74.0597,94.7983,150.3178,209.8840,0,U,8459,999,65407,.30351776E-4,.66E-6,0
SL-3 R/B,1977-057B,2026-08-11T06:39:26.808768,15.48905539,.00082366,97.5863,42.5397,85.7780,274.4411,0,U,10114,999,69223,.11411795E-3,.6061E-4,0
SEASAT 1,1978-064A,2026-08-11T05:27:54.222624,14.46271836,.00012587,108.0146,89.8334,295.8477,64.2539,0,U,10967,999,52885,.34057571E-4,-.16E-6,0
SL-14 R/B,1979-011B,2026-08-11T05:38:38.914368,14.92058054,.0014388,82.5260,309.9181,260.0480,99.9116,0,U,11267,999,55182,.20658893E-4,.235E-5,0
SL-8 R/B,1979-089B,2026-08-11T06:34:18.416064,14.42425314,.0016757,74.0694,164.8813,295.3471,64.5950,0,U,11574,999,45839,.4309735E-4,.116E-5,0
SL-14 R/B,1980-005B,2026-08-11T06:47:38.512896,14.91072444,.00160452,82.5168,160.5808,13.8546,346.3110,0,U,11672,999,49952,.258115E-4,.282E-5,0
SL-8 R/B,1981-003B,2026-08-11T07:09:34.366752,15.16217275,.02442223,82.9389,146.5087,359.2198,0.8616,0,U,12139,999,33806,.3344442E-3,.14171E-3,0
SL-3 R/B,1981-046B,2026-08-11T04:24:48.642912,15.45279426,.00168064,81.2300,103.7633,195.1527,164.9217,0,U,12465,999,46226,.11450297E-3,.5509E-4,0
SL-3 R/B,1981-103B,2026-08-11T04:41:15.345600,15.22666427,.00136429,81.1570,31.9779,122.7927,237.4621,0,U,12904,999,99673,.95684124E-4,.2259E-4,0
SL-3 R/B,1982-013B,2026-08-11T06:44:49.837632,15.23124469,.00219999,81.1765,339.3721,20.3903,339.8202,0,U,13068,999,42787,.81850626E-4,.1971E-4,0
SL-3 R/B,1982-039B,2026-08-11T06:36:19.376928,15.10798737,.00302682,81.1513,37.4481,169.4367,190.7502,0,U,13154,999,40497,.6443565E-4,.1106E-4,0
SL-3 R/B,1982-079B,2026-08-11T04:41:51.031392,15.26228311,.00237022,81.1464,10.3909,4.5146,355.6297,0,U,13403,999,40125,.90038799E-4,.2376E-4,0
SL-14 R/B,1982-092B,2026-08-10T21:57:21.718080,14.86782668,.002116,82.5699,357.0865,145.9258,337.5340,0,U,13553,999,35184,.22117E-4,.223E-5,0
SL-3 R/B,1983-010B,2026-08-11T06:12:22.525920,15.50545131,.0013286,81.1022,172.0703,217.1343,142.8986,0,U,13819,999,38186,.12589064E-3,.7248E-4,0
SL-3 R/B,1983-075B,2026-08-11T06:21:04.899456,15.41455239,.00212784,97.6115,234.0609,40.2608,320.0209,0,U,14208,999,35394,.13378251E-3,.555E-4,0
COSMOS 1536,1984-013A,2026-08-11T06:24:58.208832,15.25627711,.0015481,82.5468,313.9673,98.9888,261.3103,0,U,14699,999,29617,.13006924E-3,.3351E-4,0
SL-14 R/B,1984-027B,2026-08-11T03:48:22.912992,14.86093163,.00179107,82.5406,100.1667,176.9388,183.1942,0,U,14820,999,27057,.18377744E-4,.186E-5,0
SL-8 R/B,1985-006B,2026-08-11T07:54:03.706848,14.37856171,.00188614,74.0477,336.5873,215.7784,206.5805,0,U,15483,999,17625,.35964284E-4,.82E-6,0
SL-12 R/B(2),1985-042D,2026-08-11T04:35:17.652192,14.22015763,.00370883,71.1080,121.3080,246.5402,275.6164,0,U,15772,999,13635,.12833059E-4,-.19E-6,0
SL-14 R/B,1985-069B,2026-08-11T07:09:05.642208,14.86549419,.00198195,82.5237,239.5322,43.9041,316.3747,0,U,15945,999,19580,.20115203E-4,.203E-5,0
SL-16 R/B,1985-097B,2026-08-11T07:03:14.123808,14.16617283,.00070506,71.0025,175.0606,3.9614,157.1374,0,U,16182,999,10912,.14361121E-3,.239E-5,0
SL-14 R/B,1986-006B,2026-08-11T03:56:53.270880,14.86987337,.00776268,82.5272,114.3813,119.8574,241.0388,0,U,16496,999,17216,.2712117E-4,.285E-5,0
COSMOS 1743,1986-034A,2026-08-11T03:58:28.729920,15.72310395,.00049733,82.5239,270.0461,101.4985,258.6837,0,U,16719,999,20441,.24384829E-3,.32345E-3,0
SL-14 R/B,1986-046B,2026-08-11T05:53:41.799552,14.85707383,.00246111,82.4825,294.1565,78.1736,282.2239,0,U,16792,999,14935,.18156951E-4,.183E-5,0
SL-14 R/B,1986-055B,2026-08-11T07:16:53.742720,14.85757647,.00189544,82.5232,341.3122,175.9036,245.7091,0,U,16882,999,14232,.22067698E-4,.217E-5,0
AJISAI (EGS),1986-061A,2026-08-11T07:30:02.909088,12.44516715,.00111278,50.0120,337.8880,321.1098,136.3225,0,U,16908,999,48725,.13998749E-4,-.95E-6,0
SL-14 R/B,1987-024B,2026-08-11T06:57:51.832800,14.86249278,.00197446,82.5300,307.4636,107.4727,252.8650,0,U,17567,999,11109,.18604558E-4,.189E-5,0
COSMOS 1833,1987-027A,2026-08-11T07:46:10.801632,14.13065443,.0026273,70.9228,0.9800,327.1475,32.8012,0,U,17589,999,3216,-.81659531E-4,-.201E-5,0
SL-16 R/B,1987-027B,2026-08-11T06:31:13.139904,14.17177966,.00071528,71.0043,310.7501,253.3091,106.7248,0,U,17590,999,3724,.98910448E-4,.152E-5,0
SL-14 R/B,1987-038B,2026-08-11T07:08:16.135872,14.85478969,.00197173,82.5038,151.1671,18.2578,341.9341,0,U,17912,999,10218,.20501879E-4,.202E-5,0
COSMOS 1844,1987-041A,2026-08-10T23:32:23.750016,14.14575604,.00300255,70.8971,68.7295,154.3437,205.9182,0,U,17973,999,2540,.37930725E-4,.25E-6,0
SL-14 R/B,1987-055B,2026-08-11T01:04:43.498560,14.85741120,.00195131,82.4984,203.5103,219.6698,140.3092,0,U,18153,999,9285,.18503422E-4,.185E-5,0
COSMOS 1867,1987-060A,2026-08-11T07:45:29.448864,14.31520912,.00178082,65.0084,233.6456,281.6919,78.2166,0,U,18187,999,4207,.17869769E-4,-.53E-6,0
SL-14 R/B,1988-001B,2026-08-11T01:13:09.865632,14.85641272,.00195923,82.5105,50.1454,88.2430,272.1030,0,U,18749,999,6494,.2158623E-4,.212E-5,0
COSMOS 1933,1988-020A,2026-08-11T04:17:39.088032,15.19036919,.00051146,82.5114,97.9655,40.3727,319.7887,0,U,18958,999,7367,.78499498E-4,.1676E-4,0
SL-3 R/B,1988-032B,2026-08-11T04:12:17.995392,15.21219316,.00268905,97.5302,206.1881,57.4149,302.9677,0,U,19046,999,7558,.10814522E-3,.2363E-4,0
SL-16 R/B,1988-039B,2026-08-11T01:56:58.379136,14.19633732,.00196992,71.0141,102.0867,104.4367,255.8946,0,U,19120,999,98029,-.8152127E-5,-.65E-6,0
COSMOS 1953,1988-050A,2026-08-11T08:04:41.847744,15.30651295,.0009282,82.5086,2.3847,300.3088,59.7233,0,U,19210,999,6142,.13970849E-3,.4176E-4,0
SL-8 R/B,1988-053B,2026-08-11T06:48:45.267264,14.38984443,.00207659,74.0468,187.4926,326.6946,137.9206,0,U,19257,999,99883,.15999545E-4,.23E-6,0
COSMOS 1975,1988-093A,2026-08-11T07:12:04.767552,15.29969335,.00104752,82.5220,322.2413,351.8613,8.2455,0,U,19573,999,4303,.10855083E-3,.3187E-4,0
SL-14 R/B,1988-093B,2026-08-11T03:51:33.886368,14.85773062,.00191881,82.5282,257.0340,244.9796,176.3016,0,U,19574,999,2395,.17327399E-4,.175E-5,0
SL-16 R/B,1988-102B,2026-08-11T07:29:03.903072,14.16168215,.00127657,70.9984,186.1484,142.4345,217.7673,0,U,19650,999,94878,-.3644029E-4,-.12E-5,0
INTERCOSMOS 24,1989-080A,2026-08-11T06:59:36.542688,12.59702039,.11861422,82.6098,3.7723,294.0137,54.1310,0,U,20261,999,68626,.49167673E-4,.168E-5,0
SL-14 R/B,1989-080C,2026-08-11T06:52:00.777504,12.50584625,.12295218,82.5887,73.8984,191.3365,165.7530,0,U,20262,999,67947,.53337081E-4,.192E-5,0
DELTA 1 R/B,1989-089B,2026-08-11T06:12:31.288608,14.50760640,.00689176,97.0646,46.0078,355.4648,4.5918,0,U,20323,999,91814,.41718218E-4,.133E-5,0
ARIANE 40 R/B,1990-005H,2026-08-11T03:33:48.303936,14.39951473,.00114211,98.2920,279.0446,99.5841,260.6638,0,U,20443,999,91503,.40245157E-4,.85E-6,0
DELTA 2 R/B(1),1990-008B,2026-08-11T07:27:04.728096,15.79993697,.00485541,35.5959,224.0858,273.4138,86.1052,0,U,20453,999,95039,.43810761E-3,.92955E-3,0
COSMOS 2058,1990-010A,2026-08-11T04:35:11.073696,15.12268899,.00103323,82.4640,255.1001,151.9252,208.2538,0,U,20465,999,96558,.59835574E-4,.1066E-4,0
SL-14 R/B,1990-010B,2026-08-11T06:26:25.265472,14.83676906,.00205784,82.5032,122.2212,146.5409,213.7112,0,U,20466,999,95140,.18712646E-4,.179E-5,0
SL-14 R/B,1990-018B,2026-08-11T07:11:51.346176,14.82247430,.00148975,82.5186,78.5883,306.5635,53.4208,0,U,20511,999,94548,.18291056E-4,.169E-5,0
HST,1990-037B,2026-08-10T23:05:38.691168,15.31314574,.00024005,28.4729,66.0407,39.3084,320.7686,0,U,20580,999,79697,.10285782E-3,.3432E-4,0
SL-16 R/B,1990-046B,2026-08-10T17:36:39.791232,14.15027461,.0012062,71.0011,334.3870,66.4095,293.8293,0,U,20625,999,87018,-.12299415E-3,-.286E-5,0
COSMOS 2084,1990-055A,2026-08-11T05:32:46.578624,15.06310824,.00117539,62.7885,168.1873,336.3696,23.6863,0,U,20663,999,95959,.80729845E-4,.989E-5,0
SL-6 R/B(2),1990-055D,2026-08-11T00:44:38.816448,15.04188523,.00492077,62.7811,88.7215,12.5616,347.6697,0,U,20666,999,96140,.702577E-4,.793E-5,0
SL-8 R/B,1990-078B,2026-08-11T04:54:05.411520,14.94007407,.03424987,82.9021,111.8468,211.5383,146.4910,0,U,20775,999,83233,.16610748E-3,.5941E-4,0
SL-8 R/B,1991-006B,2026-08-11T06:56:37.733568,13.77514762,.0021619,82.9391,55.0287,325.0630,209.0747,0,U,21088,999,78535,.12785951E-3,.142E-5,0
OKEAN-3,1991-039A,2026-08-11T07:21:57.374784,15.05539442,.00144559,82.5168,186.9213,155.7050,204.4861,0,U,21397,999,88829,.12397382E-3,.1816E-4,0
COSMOS 2151,1991-042A,2026-08-11T06:36:40.937184,15.00574913,.00107312,82.4969,294.5191,254.1123,105.8919,0,U,21422,999,88637,.65209535E-4,.851E-5,0
SL-14 R/B,1991-042B,2026-08-11T01:09:22.567104,14.81930633,.00185418,82.4902,75.4419,93.5369,266.7966,0,U,21423,999,87593,.19328043E-4,.177E-5,0
ERS-1,1991-050A,2026-08-11T01:48:26.726112,14.39547740,.00330668,98.7797,245.1131,103.7971,256.6900,0,U,21574,999,83794,.59531635E-4,.141E-5,0
ARIANE 40 R/B,1991-050F,2026-08-11T02:33:23.151744,14.42985385,.00024976,98.1842,269.3744,351.3567,8.7580,0,U,21610,999,84126,.50587806E-4,.128E-5,0
INTERCOSMOS 25,1991-086A,2026-08-11T02:02:31.427808,12.12277160,.14855737,82.6007,216.5910,143.9354,227.1841,0,U,21819,999,51539,.60830875E-4,.344E-5,0
SL-8 R/B,1992-008B,2026-08-11T07:52:11.375616,13.75988115,.00361061,82.9299,152.7962,63.5914,48.9545,0,U,21876,999,73068,.46987898E-4,.61E-6,0
SL-8 R/B,1992-020B,2026-08-11T06:51:39.309696,13.75553587,.00280642,82.9284,38.9177,224.3123,309.5042,0,U,21938,999,72238,.13749331E-3,.148E-5,0
USA 81,1992-023A,2026-08-11T01:00:19.993248,14.32410509,.00011571,85.0047,42.3323,94.5329,265.5996,0,U,21949,999,11688,.2797883E-4,.96E-6,0
COSMOS 2219,1992-076A,2026-08-11T05:22:51.043296,14.14102543,.00191162,71.0584,55.0161,319.3735,40.5960,0,U,22219,999,74022,.10820155E-3,.159E-5,0
SL-16 R/B,1992-076B,2026-08-11T05:48:13.171104,14.16879806,.00143988,70.9979,222.8046,226.8262,212.5844,0,U,22220,999,74372,-.38284438E-4,-.125E-5,0
COSMOS 2221,1992-080A,2026-08-11T05:33:16.020288,14.96673770,.00153279,82.5052,131.0297,38.0907,322.1396,0,U,22236,999,80390,.68194084E-4,.806E-5,0
