OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
CALSPHERE 1,1964-063C,2026-09-04T12:59:53.196288,13.76695122,.00276315,90.2173,73.6102,54.7729,28.6822,0,U,900,999,8234,.3851892E-3,.389E-5,0
CALSPHERE 2,1964-063E,2026-09-04T12:53:06.069984,13.52905544,.00186497,90.2288,77.6646,3.3186,55.5383,0,U,902,999,86699,.6636565E-4,.53E-6,0
LCS 1,1965-034C,2026-09-04T12:57:59.744448,9.89310603,.00114227,32.1466,348.6151,42.8873,317.2514,0,U,1361,999,21774,-.19869216E-4,.8E-7,0
TEMPSAT 1,1965-065E,2026-09-04T09:17:31.833600,13.33597852,.0070736,90.0039,212.6046,27.7223,126.0394,0,U,1512,999,97060,.62525026E-4,.4E-6,0
CALSPHERE 4A,1965-065H,2026-09-04T14:24:29.918592,13.36289717,.00680046,89.8924,121.6928,239.0567,205.2044,0,U,1520,999,97331,.73007425E-4,.47E-6,0
OPS 5712 (P/L 160),1967-053A,2026-09-04T11:48:46.274400,14.78605575,.00043816,69.9155,203.7685,277.5961,82.4689,0,U,2826,999,7795,.5646685E-3,.4064E-4,0
LES-5,1967-066E,2026-09-04T14:47:50.790912,1.09425945,.00515729,2.8026,94.0448,214.8229,0.5551,0,U,2866,999,13190,0,-.108E-5,0
SURCAL 159,1967-053F,2026-09-04T13:23:25.394784,13.99618073,.00069469,69.9742,189.9119,348.6059,11.4890,0,U,2872,999,2131,.5941786E-4,.33E-6,0
OPS 5712 (P/L 153),1967-053H,2026-09-04T02:35:37.063104,13.96838025,.00045072,69.9744,306.1457,94.3487,265.8134,0,U,2874,999,1781,.38248684E-4,0,0
RIGIDSPHERE 2 (LCS 4),1971-067E,2026-09-04T14:15:16.518816,14.37948297,.00584375,87.6230,316.7723,331.3006,28.4980,0,U,5398,999,88529,.91127874E-4,.298E-5,0
OSCAR 7 (AO-7),1974-089B,2026-09-04T11:37:00.485760,12.53699397,.00121388,101.9921,261.5599,341.7015,179.5356,0,U,7530,999,37045,-.899348E-5,-.48E-6,0
STARLETTE,1975-010A,2026-09-04T14:42:09.267264,13.82351579,.02056854,49.8241,151.0899,325.4340,33.3324,0,U,7646,999,60552,.9425271E-5,-.13E-5,0
LAGEOS 1,1976-039A,2026-09-04T09:06:36.379872,6.38664774,.00446242,109.8145,206.4358,285.2935,234.5579,0,U,8820,999,91819,0,.12E-6,0
PHASE 3B (AO-10),1983-058B,2026-09-03T01:15:10.727136,2.05870144,.5985571,25.9715,206.8146,137.0259,289.6643,0,U,14129,999,29709,0,-.9E-7,0
UOSAT 2 (UO-11),1984-021B,2026-09-03T08:16:00.213024,14.90965871,.0006107,97.8147,211.0902,290.6044,69.4519,0,U,14781,999,26877,.87973E-4,.813E-5,0
AJISAI (EGS),1986-061A,2026-09-04T13:36:50.706720,12.44517281,.00112596,50.0075,263.3064,22.6337,83.9904,0,U,16908,999,49027,.14898022E-3,-.76E-6,0
TDRS 3,1988-091B,2026-09-04T03:48:13.041792,1.00277848,.00382239,12.5438,340.4687,352.2720,18.6514,0,U,19548,999,12618,0,-.299E-5,0
COSMOS 1989 (ETALON 1),1989-001C,2026-09-04T06:32:31.896096,2.13155908,.00233754,64.9962,69.4930,217.3872,314.4301,0,U,19751,999,29305,0,.3E-6,0
COSMOS 2024 (ETALON 2),1989-039C,2026-09-03T10:09:42.752736,2.13204546,.0020882,64.8826,307.8374,212.2001,199.2290,0,U,20026,999,29017,0,-.24E-6,0
FLTSATCOM 8 (USA 46),1989-077A,2026-09-03T16:03:44.375904,1.00279055,.00026079,12.4015,350.6809,204.5133,154.1784,0,U,20253,999,26134,0,-.367E-5,0
LUSAT (LO-19),1990-005G,2026-09-04T07:10:38.299296,14.34141707,.00110816,98.8833,271.2765,339.3872,20.6863,0,U,20442,999,91373,.24830605E-4,.23E-6,0
HST,1990-037B,2026-09-04T11:09:33.517728,15.31550044,.00014821,28.4724,258.4042,305.6276,54.4182,0,U,20580,999,80073,.10696292E-3,.3585E-4,0
TDRS 5,1991-054B,2026-09-04T11:47:46.635936,1.00275716,.00092611,14.0622,353.1796,249.8979,109.8716,0,U,21639,999,12850,0,.82E-6,0
LAGEOS 2,1992-070B,2026-08-21T09:32:35.938752,6.47294115,.01380239,52.6388,225.4440,215.8893,299.2317,0,U,22195,999,79964,0,-.9E-7,0
