OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
CUTE-1 (CO-55),2003-031E,2026-06-18T17:21:18.294624,14.24336519,.0009643,98.6736,178.2627,173.5600,186.5705,0,U,27844,999,19189,.11222E-3,.216E-5,0
CUBESAT XI-IV (CO-57),2003-031J,2026-06-17T22:32:30.413760,14.23621196,.0009073,98.6765,177.2007,194.7196,165.3719,0,U,27848,999,19148,.10079477E-3,.186E-5,0
CUBESAT XI-V,2005-043F,2026-06-17T22:42:29.709216,14.72633352,.00137043,98.2987,324.5839,198.2082,161.8635,0,U,28895,999,10186,.18286399E-3,.1113E-4,0
CUTE-1.7+APD II (CO-65),2008-021C,2026-06-18T16:58:19.166592,15.09462529,.0009595,97.8275,151.1573,34.0332,326.1510,0,U,32785,999,98542,.27673E-3,.4368E-4,0
CANX-2,2008-021H,2026-06-17T21:16:22.678176,15.05623552,.00114189,97.8640,148.6774,48.7586,311.4622,0,U,32790,999,98491,.25994567E-3,.369E-4,0
SEEDS II (CO-66),2008-021J,2026-06-18T10:35:22.532928,15.32786684,.000089,97.7517,167.3987,357.5135,2.6101,0,U,32791,999,98748,.44622E-3,.14056E-3,0
SWISSCUBE,2009-051B,2026-06-18T17:48:51.325344,14.62484142,.0006063,98.4034,77.6577,197.6452,162.4539,0,U,35932,999,88938,.15677E-3,.745E-5,0
BEESAT-1,2009-051C,2026-06-18T16:25:02.059968,14.61722602,.0004309,98.3962,77.2309,211.2918,148.8026,0,U,35933,999,88940,.13739E-3,.636E-5,0
ITUPSAT1,2009-051E,2026-06-18T04:43:11.614080,14.60442029,.00062858,98.4047,75.9267,230.1057,129.9590,0,U,35935,999,88888,.13197175E-3,.591E-5,0
TISAT 1,2010-035E,2026-06-18T07:01:54.736032,15.31742601,.0001545,98.0713,115.9399,166.4985,193.6296,0,U,36799,999,86787,.50955E-3,.15546E-3,0
AEROCUBE 4.5A,2012-048K,2026-06-18T20:28:06.894912,15.97743210,.0019296,64.6229,20.7738,228.7327,131.2175,0,U,38767,999,37292,.97832E-3,.45184E-2,.92161E-4
STRAND-1,2013-009E,2026-06-18T17:26:46.828032,14.37163972,.0007804,98.3923,349.9234,220.1282,139.9329,0,U,39090,999,69728,.79602E-4,.194E-5,0
BRITE-AUSTRIA,2013-009F,2026-06-18T17:46:16.733280,14.36542636,.0009202,98.3995,349.1376,231.3134,128.7230,0,U,39091,999,69727,.56763E-4,.124E-5,0
NEE-01 PEGASO,2013-018B,2026-06-18T08:05:56.562144,14.93664438,.001322,98.1225,313.5252,155.6183,204.5663,0,U,39151,999,71087,.22456E-3,.2315E-4,0
POPACS 2,2013-055E,2026-06-18T15:39:57.370176,14.91243644,.0416784,80.9906,142.5145,189.0649,170.2883,0,U,39269,999,66343,.20498E-3,.12134E-3,0
POPACS 3,2013-055F,2026-06-18T10:12:00.373248,14.56141061,.0552049,81.0003,227.8457,66.2304,299.5770,0,U,39270,999,63873,.1803E-3,.768E-4,0
ZACUBE-1 (TSHEPISOSAT),2013-066B,2026-06-18T08:10:15.915936,15.01194004,.0040949,97.8077,131.6833,243.7163,115.9851,0,U,39417,999,68090,.18681E-3,.2374E-4,0
WNISAT-1,2013-066H,2026-06-18T15:39:14.256576,14.58064468,.0162048,97.7204,318.7045,226.9440,131.8099,0,U,39423,999,66694,.14172E-3,.73E-5,0
TRITON-1,2013-066M,2026-06-18T20:22:20.316000,14.81711399,.0088552,97.8249,79.6185,228.4240,130.9359,0,U,39427,999,67433,.21334E-3,.1741E-4,0
GOMX-1,2013-066Q,2026-06-18T19:41:05.369856,14.69466264,.0130146,97.6474,10.1797,72.3376,289.1992,0,U,39430,999,67015,.25762E-3,.1688E-4,0
CUBEBUG-2 (LO-74),2013-066AA,2026-06-18T19:18:56.098080,14.93773469,.0058293,97.8910,118.7896,23.8630,336.5272,0,U,39440,999,67723,.36475E-3,.3935E-4,0
NEE-02 KRYSAOR,2013-066AB,2026-06-18T18:10:28.788960,14.86623653,.0067597,97.8893,108.9606,65.1877,295.6349,0,U,39441,999,67643,.20289E-3,.1818E-4,0
FUNCUBE-1 (AO-73),2013-066AE,2026-06-18T15:32:22.593408,15.09504260,.0035755,97.8281,141.1237,195.6832,164.3291,0,U,39444,999,67988,.3018E-3,.484E-4,0
UWE-3,2013-066AG,2026-06-18T14:51:46.986048,14.97034048,.0047372,97.8699,125.7026,316.3669,43.3811,0,U,39446,999,67779,.31072E-3,.3597E-4,0
BRITE-CA1 (TORONTO),2014-033L,2026-06-18T14:24:43.875648,14.72678402,.0077213,97.9742,298.5023,272.4058,86.8311,0,U,40020,999,64242,.93677E-4,.571E-5,0
DUCHIFAT-1,2014-033M,2026-06-18T16:25:31.161216,15.64848252,.0002814,98.0447,229.0553,113.8680,246.2872,0,U,40021,999,65598,.89916E-3,.88318E-3,0
NANOSATC-BR1,2014-033Q,2026-06-18T20:07:58.343808,15.31498913,.0004556,98.0716,202.3732,158.4480,201.6952,0,U,40024,999,65423,.42393E-3,.12819E-3,0
QB50P1,2014-033R,2026-06-18T14:24:00.294624,15.18277268,.0007983,98.0962,180.8450,209.9659,150.1117,0,U,40025,999,65324,.30544E-3,.6188E-4,0
QB50P2,2014-033Y,2026-06-18T18:01:36.634080,15.15174163,.0008168,98.0752,166.7286,158.5768,201.5806,0,U,40032,999,65290,.31045E-3,.5755E-4,0
PERSEUS-M2,2014-033AD,2026-06-18T19:15:56.849184,14.95512774,.0010513,97.9966,120.3763,298.0582,61.9575,0,U,40037,999,65102,.12216E-3,.1293E-4,0
PERSEUS-M1,2014-033AF,2026-06-18T18:36:54.067392,14.95634843,.0010198,97.9640,113.9333,295.2954,64.7209,0,U,40039,999,65087,.12433E-3,.1322E-4,0
POLYITAN-1,2014-033AJ,2026-06-18T14:50:43.312704,15.33297714,.0008724,98.0940,196.0151,137.4054,222.7864,0,U,40042,999,65381,.47423E-3,.152E-3,0
TIGRISAT,2014-033AK,2026-06-18T09:30:11.268000,14.85166384,.0050562,97.7831,319.3796,71.3546,289.3150,0,U,40043,999,64580,.1913E-3,.1621E-4,0
AEROCUBE 6A,2014-033AM,2026-06-18T10:13:42.695040,14.98119366,.0038811,97.7249,336.3614,13.8936,346.3344,0,U,40045,999,64680,.33873E-3,.4013E-4,0
AEROCUBE 6B,2014-033AN,2026-06-18T16:39:40.461120,14.99581827,.0038205,97.7248,336.4203,4.1889,355.9647,0,U,40046,999,64698,.32166E-3,.3955E-4,0
CANX-4,2014-034C,2026-06-18T15:18:43.670016,14.81266926,.001306,98.3120,45.0044,12.4887,347.6645,0,U,40055,999,64474,.98465E-4,.711E-5,0
CANX-5,2014-034D,2026-06-18T15:16:26.840064,14.81284229,.0013066,98.3121,45.0464,12.7135,347.4404,0,U,40056,999,63555,.9984E-4,.722E-5,0
UKUBE-1,2014-037F,2026-06-18T18:07:03.305568,15.13575223,.0002745,98.4237,173.1912,131.1505,228.9960,0,U,40074,999,64879,.41753E-3,.7415E-4,0
BRITE-PL2 (HEWELIUSZ),2014-049B,2026-06-18T18:41:57.182784,14.94598146,.0015333,97.9100,281.7913,103.7702,256.5226,0,U,40119,999,64168,.15283E-3,.1598E-4,0
AEROCUBE 5C,2015-058B,2026-06-18T12:17:06.222048,14.91458402,.0130808,64.7674,258.4697,62.7526,298.6842,0,U,40965,999,36585,.15833E-3,.1689E-4,0
AEROCUBE 7,2015-058C,2026-06-18T07:17:32.112096,14.95731068,.0120511,64.7616,241.3183,61.2612,300.0548,0,U,40966,999,36612,.2005E-3,.2407E-4,0
FOX-1A (AO-85),2015-058D,2026-06-18T16:39:25.987392,14.90975407,.0130534,64.7758,274.3012,56.0068,305.3365,0,U,40967,999,11379,.17186E-3,.1823E-4,0
SINOD-D 1,2015-058E,2026-06-18T16:23:12.293088,14.95913324,.0119134,64.7749,254.2293,52.4856,308.7015,0,U,40968,999,11688,.20562E-3,.2478E-4,0
SNAP-3 ALICE,2015-058G,2026-06-18T18:37:43.503744,15.60380771,.0027811,64.7501,98.4383,11.8686,348.3109,0,U,40970,999,11713,.12677E-2,.107767E-2,0
LMRST-SAT,2015-058H,2026-06-18T07:32:33.843840,14.90593890,.0132146,64.7763,271.8213,58.1750,303.2148,0,U,40971,999,11372,.15881E-3,.1659E-4,0
SNAP-3 EDDIE,2015-058J,2026-06-18T12:12:39.182976,15.61614603,.0027477,64.7423,90.0775,16.0390,344.1620,0,U,40972,999,11923,.11843E-2,.10551E-2,0
PROPCUBE 3,2015-058K,2026-06-18T14:45:19.272096,14.94263418,.0124113,64.7680,248.0755,59.3472,301.9808,0,U,40973,999,11501,.17894E-3,.2059E-4,0
BISONSAT,2015-058L,2026-06-18T06:52:24.887424,15.16210467,.0079142,64.7580,170.0907,46.8172,313.9529,0,U,40974,999,11578,.47758E-3,.9843E-4,0
SNAP-3 JIMI,2015-058M,2026-06-18T06:06:11.481984,15.02305085,.0106227,64.7633,216.3962,54.9329,306.1695,0,U,40975,999,11438,.2434E-3,.3453E-4,0
PROPCUBE 1 (FLORA),2015-058N,2026-06-18T16:09:21.449952,14.89227681,.0130823,64.7755,290.6305,60.3454,301.0610,0,U,40976,999,11648,.1744E-3,.1765E-4,0
SINOD-D 3,2015-058P,2026-06-18T17:07:40.287072,14.94023737,.0119344,64.7729,271.0526,57.5326,303.7259,0,U,40977,999,11498,.21385E-3,.2451E-4,0
HORYU-4,2016-012D,2026-06-18T01:30:03.446496,15.96640257,.00059419,30.9844,72.5998,278.9863,81.0127,0,U,41340,999,57095,.98166813E-3,.440932E-2,.72867516E-4
RAVAN,2016-067B,2026-06-18T04:51:09.611712,15.54764284,.0004242,97.9884,58.8909,28.9137,331.2350,0,U,41849,999,52785,.59216E-3,.39399E-3,0
CELTEE 1,2016-067C,2026-06-18T03:05:39.183072,15.19689358,.000098,98.0668,35.7600,126.8812,233.2511,0,U,41850,999,52602,.18683E-3,.391E-4,0
OPTICUBE 04,2016-067D,2026-06-18T12:53:49.315776,15.09664347,.0016939,98.0698,21.8916,111.3354,248.9683,0,U,41851,999,52537,.12559E-3,.1956E-4,0
AEROCUBE 8D,2016-067E,2026-06-18T14:23:32.284608,15.24413704,.0004791,98.0674,39.8781,119.8253,240.3459,0,U,41852,999,52628,.2456E-3,.5942E-4,0
