OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
PROBA-1,2001-049B,2026-07-16T14:33:27.076896,15.07619063,.00556751,97.9599,207.1684,25.1798,335.2124,0,U,26958,999,34805,.68721477E-4,.1011E-4,0
CUTE-1 (CO-55),2003-031E,2026-07-16T11:18:06.940224,14.24352009,.00108491,98.6744,205.6621,99.3803,260.8604,0,U,27844,999,19584,.74880532E-4,.129E-5,0
CUBESAT XI-IV (CO-57),2003-031J,2026-07-16T11:22:41.501280,14.23634953,.00105874,98.6775,205.3542,115.9860,244.2410,0,U,27848,999,19554,.65296624E-4,.105E-5,0
APRIZESAT 4,2009-041D,2026-07-16T04:26:19.232448,14.83914429,.00422912,98.1404,273.0822,226.2484,133.5226,0,U,35684,999,91566,.46573021E-4,.333E-5,0
APRIZESAT 3,2009-041F,2026-07-16T09:20:38.426496,14.96312768,.00607609,98.2102,352.0190,331.9541,27.8409,0,U,35686,999,92074,.63592214E-4,.676E-5,0
PROBA-2,2009-059B,2026-07-16T11:16:47.584416,14.54873910,.00130986,98.2459,20.4183,184.7375,175.3700,0,U,36037,999,88578,.23024685E-4,.54E-6,0
APRIZESAT 5,2011-044E,2026-07-16T09:28:33.566880,14.81128622,.00506809,98.2449,131.2646,268.7277,90.8128,0,U,37792,999,80311,.55338296E-4,.379E-5,0
APRIZESAT 6,2011-044F,2026-07-16T06:56:11.447232,14.76957659,.00429591,98.2336,108.3804,354.7759,121.7132,0,U,37793,999,80144,.55005415E-4,.336E-5,0
PROBA-V,2013-021A,2026-07-16T11:57:16.091424,14.23603527,.0005214,98.3606,174.6608,56.9313,303.2366,0,U,39159,999,68528,.22910666E-4,.11E-6,0
APRIZESAT 7,2013-066A,2026-07-16T14:29:32.841312,14.91620836,.00372813,97.7723,150.4042,112.8268,247.6895,0,U,39416,999,68561,.64412417E-4,.597E-5,0
APRIZESAT 8,2013-066K,2026-07-16T09:35:35.744064,14.87697448,.00455938,97.8230,144.4630,187.8935,172.1569,0,U,39425,999,68401,.44928178E-4,.36E-5,0
BUGSAT-1 (TITA),2014-033E,2026-07-16T14:40:06.490272,15.15889625,.00289244,98.0435,291.8872,81.1607,279.2897,0,U,40014,999,66029,.16348178E-3,.3085E-4,0
SAUDISAT 4,2014-033G,2026-07-16T09:38:55.952736,14.79576218,.00441568,97.7619,342.5326,340.1095,19.8394,0,U,40016,999,65039,.35268244E-4,.216E-5,0
APRIZESAT 9,2014-033J,2026-07-16T07:48:22.272192,14.74253373,.00674645,97.9096,329.8172,106.3797,254.4843,0,U,40018,999,64785,.5115499E-4,.298E-5,0
APRIZESAT 10,2014-033K,2026-07-16T13:58:38.925408,14.70911836,.00788442,97.9684,323.8916,178.9189,181.2203,0,U,40019,999,64657,.52544723E-4,.285E-5,0
TECHDEMOSAT-1 (TDS-1),2014-037H,2026-07-16T10:42:55.101312,15.13690160,.00070237,98.3827,192.5707,154.6869,205.4705,0,U,40076,999,65265,.22069314E-3,.3895E-4,0
TECHNOSAT,2017-042E,2026-07-16T10:28:09.791616,15.05115320,.0017314,97.4319,353.9887,359.5045,0.6162,0,U,42829,999,49110,.11219901E-3,.1542E-4,0
FLYING LAPTOP,2017-042G,2026-07-16T15:30:46.060416,15.01319059,.00196512,97.4811,352.0719,27.8785,332.3488,0,U,42831,999,49087,.16670525E-3,.2096E-4,0
HAWK-A,2018-099H,2026-07-16T14:47:36.022560,15.24975549,.00348884,97.3895,249.4721,178.9967,181.1347,0,U,43765,999,41758,.15182195E-3,.3776E-4,0
HAWK-B,2018-099AN,2026-07-16T14:34:55.378560,15.23124761,.00315327,97.3943,248.8164,197.0629,162.9551,0,U,43794,999,41751,.14187433E-3,.3321E-4,0
HAWK-C,2018-099AT,2026-07-16T14:11:18.973248,15.28503883,.00404603,97.3871,250.5058,178.8979,181.2358,0,U,43799,999,41840,.1646876E-3,.4601E-4,0
SALSAT,2020-068K,2026-07-16T05:58:34.584960,15.30180346,.00093214,97.8856,202.0925,188.9749,171.1325,0,U,46495,999,31980,.1336874E-3,.3822E-4,0
HAWK-2C,2021-006CT,2026-07-16T13:20:02.309856,15.34999327,.00086794,97.2262,241.2836,97.0810,263.1421,0,U,47502,999,30400,.10939587E-3,.3639E-4,0
HAWK-2A,2021-006CW,2026-07-16T03:59:59.239104,15.35017065,.00082184,97.2304,241.5969,101.3926,258.8242,0,U,47505,999,30394,.13860224E-3,.4634E-4,0
HAWK-2B,2021-006CZ,2026-07-16T13:13:43.495104,15.35147812,.00087788,97.2175,240.2601,98.9072,261.3166,0,U,47508,999,30400,.12515665E-3,.4195E-4,0
HAWK-3B,2021-059BE,2026-07-16T12:01:03.159264,15.71948524,.00046338,97.6631,37.0342,193.4440,166.6700,0,U,48931,999,28245,.23386548E-3,.30374E-3,0
HAWK-3C,2021-059BX,2026-07-16T12:00:35.817984,15.71949731,.00048839,97.6747,42.7698,193.9249,166.1880,0,U,48948,999,28245,.24247116E-3,.31505E-3,0
HAWK-3A,2021-059CG,2026-07-16T12:00:26.056512,15.71947171,.00048374,97.6691,39.9509,196.2796,163.8311,0,U,48957,999,28245,.21044928E-3,.27309E-3,0
HAWK-5C,2022-057Y,2026-07-16T10:43:15.668832,15.52353614,.00026756,97.6619,359.0269,341.0919,19.0233,0,U,52754,999,23088,.18259517E-3,.11022E-3,0
HAWK-5B,2022-057AA,2026-07-16T13:48:38.756448,15.52352649,.00033467,97.6631,357.5180,325.9354,34.1683,0,U,52756,999,23090,.17553175E-3,.10591E-3,0
HAWK-5A,2022-057AB,2026-07-16T10:42:42.868800,15.52352143,.00032292,97.6626,358.2106,332.4655,27.6426,0,U,52757,999,23088,.18293221E-3,.11042E-3,0
HAWK-6B,2023-011A,2026-07-16T08:41:25.559232,15.23160082,.00043157,40.4972,181.8706,246.4239,113.6117,0,U,55324,999,19229,.11121715E-3,.2488E-4,0
HAWK-6C,2023-011C,2026-07-16T08:40:30.953568,15.23160464,.00048302,40.4963,178.7100,240.0320,120.0010,0,U,55326,999,19230,.97873876E-4,.2165E-4,0
HAWK-6A,2023-011D,2026-07-16T08:40:34.203936,15.23160255,.00044293,40.4973,180.3367,237.1478,122.8905,0,U,55327,999,19230,.10286283E-3,.2286E-4,0
HAWK-7A,2023-054P,2026-07-16T14:08:19.830624,15.27641205,.00012636,97.2659,84.1789,324.8705,35.2451,0,U,56191,999,18151,.11411835E-3,.3011E-4,0
HAWK-7B,2023-054R,2026-07-16T15:42:33.431904,15.27640033,.00011539,97.2685,82.5169,13.4099,346.7171,0,U,56193,999,18152,.11480873E-3,.303E-4,0
HAWK-7C,2023-054Y,2026-07-16T14:08:03.157152,15.27642190,.00007817,97.2660,83.2128,348.4346,11.6875,0,U,56200,999,18151,.11335708E-3,.2991E-4,0
