OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
TDRS 3,1988-091B,2026-06-13T06:22:29.643168,1.00274509,.00383957,12.6050,341.0272,356.0222,331.3144,0,U,19548,999,12534,0,-.296E-5,0
FLTSATCOM 8 (USA 46),1989-077A,2026-06-12T22:20:59.392608,1.00279686,.00045606,12.4230,351.1914,52.6763,318.2259,0,U,20253,999,26052,0,-.364E-5,0
SKYNET 4C,1990-079A,2026-06-11T04:50:51.491040,1.00274124,.0002401,13.3423,349.8525,96.2300,279.5546,0,U,20776,999,13083,0,.132E-5,0
TDRS 5,1991-054B,2026-06-13T06:50:52.220832,1.00272600,.00063936,14.0718,353.8074,274.5771,288.2368,0,U,21639,999,12767,0,.85E-6,0
TDRS 6,1993-003B,2026-06-13T05:33:12.737088,1.00272832,.00077164,14.1828,357.0900,177.9774,123.9808,0,U,22314,999,12236,0,-.294E-5,0
UFO 2 (USA 95),1993-056A,2026-06-12T04:46:49.838016,1.00274344,.00061171,11.8933,3.5848,7.1452,350.1376,0,U,22787,999,11849,0,.13E-5,0
USA 99 (MILSTAR-1 1),1994-009A,2026-06-13T06:26:12.346080,0.98721948,.00011253,17.6208,27.7466,213.7864,143.4643,0,U,22988,999,3290,0,-.85E-6,0
UFO 4 (USA 108),1995-003A,2026-06-12T19:09:00.915264,1.00271877,.00031377,9.6987,13.2469,62.3928,284.9045,0,U,23467,999,11490,0,-.18E-6,0
TDRS 7,1995-035B,2026-06-12T23:53:17.021760,1.00265562,.00110962,13.3789,348.2209,77.4157,282.9490,0,U,23613,999,11320,0,-.234E-5,0
USA 115 (MILSTAR-1 2),1995-060A,2026-06-13T06:29:55.234752,1.00364842,.00015667,14.0715,3.7774,142.5931,117.1762,0,U,23712,999,3284,0,-.183E-5,0
INMARSAT 3-F1,1996-020A,2026-06-13T04:31:38.615232,0.99979264,.00037238,10.5932,46.6727,44.8686,146.9289,0,U,23839,999,11021,0,-.141E-5,0
INMARSAT 3-F2,1996-053A,2026-06-12T12:13:12.288000,1.00003983,.00067549,9.8471,53.9857,25.7656,158.2820,0,U,24307,999,10887,0,-.217E-5,0
INMARSAT 3-F3,1996-070A,2026-06-12T18:47:38.626080,0.99980403,.0003455,10.3092,49.6969,19.4088,161.0342,0,U,24674,999,10786,0,.136E-5,0
AMC-3,1997-050A,2026-06-12T07:44:38.732928,0.99060680,.00041112,8.1510,64.0494,27.8772,175.7330,0,U,24936,999,5238,0,.54E-6,0
USA 134,1997-065A,2026-06-13T07:48:11.411712,1.00269340,.00033677,12.7794,21.7511,335.9303,268.7675,0,U,25019,999,3291,0,-.62E-6,0
INMARSAT 3-F5,1998-006B,2026-06-13T02:58:38.981856,1.00269237,.00044298,9.6840,53.2993,25.6664,173.1600,0,U,25153,999,10385,0,-.287E-5,0
ABS-6,1999-053A,2026-06-13T05:21:14.779872,1.00269160,.00034778,0.0290,33.7650,67.0540,40.0348,0,U,25924,999,9780,0,0,0
UFO 10 (USA 146),1999-063A,2026-06-12T09:40:06.894048,1.00272117,.0002106,9.8428,27.2366,32.1640,323.4355,0,U,25967,999,9729,0,-.182E-5,0
ASIASTAR,2000-016A,2026-06-12T15:24:34.154208,1.00270975,.00044034,9.1187,58.2030,24.8143,154.1180,0,U,26107,999,9587,0,-.327E-5,0
USA 149 (DSP 20),2000-024A,2026-06-13T07:29:15.420192,1.00273051,.00018164,13.1676,11.8796,305.2912,251.3639,0,U,26356,999,3287,0,.95E-6,0
TDRS 8,2000-034A,2026-06-12T15:18:42.215904,1.00268045,.00048162,12.6767,31.3622,14.9650,168.9899,0,U,26388,999,9513,0,-.19E-5,0
