OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
GLOBALSTAR M069,2007-020C,2026-08-10T20:25:01.610976,12.23473491,.00010992,52.0027,97.4066,272.4716,169.2338,0,U,31573,999,88549,.15623686E-3,-.76E-6,0
GLOBALSTAR M072,2007-020D,2026-08-10T16:14:31.326144,11.91659117,.00015717,51.9952,315.1824,76.4676,72.1082,0,U,31574,999,88147,.21830019E-3,-.68E-6,0
GLOBALSTAR M066,2007-048C,2026-08-10T12:40:48.734976,12.30390617,.00050577,51.9578,261.9174,155.5071,10.6696,0,U,32265,999,86691,.81140723E-4,-.85E-6,0
GLOBALSTAR M079,2010-054A,2026-08-10T22:56:30.129792,12.62266848,.00008426,52.0053,301.9492,116.3930,55.0641,0,U,37188,999,72946,.11794744E-3,-.83E-6,0
GLOBALSTAR M074,2010-054B,2026-08-10T15:56:07.279296,12.62262222,.00005146,52.0028,302.0953,129.0713,34.7208,0,U,37189,999,73003,.12993938E-3,-.8E-6,0
GLOBALSTAR M076,2010-054C,2026-08-10T11:58:21.410688,12.62262990,.0000763,52.0042,302.8060,131.5761,241.5102,0,U,37190,999,72973,.10953317E-3,-.84E-6,0
GLOBALSTAR M077,2010-054D,2026-08-10T19:36:24.289920,11.67547946,.00020475,51.9970,40.6358,279.0250,93.3283,0,U,37191,999,72752,.27385013E-3,-.63E-6,0
GLOBALSTAR M075,2010-054E,2026-08-10T18:47:05.293824,12.62268103,.00007234,51.9974,343.9623,98.1623,66.4351,0,U,37192,999,72883,.49712229E-4,-.95E-6,0
GLOBALSTAR M073,2010-054F,2026-08-10T13:02:17.181888,12.62267510,.00005818,52.0044,258.8355,129.5532,24.6235,0,U,37193,999,73079,.19914297E-3,-.68E-6,0
GLOBALSTAR M083,2011-033A,2026-08-10T22:08:50.750304,12.62258385,.00004279,51.9840,205.8319,109.2394,271.2213,0,U,37739,999,69986,-.43866979E-4,-.112E-5,0
