OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
INTELSAT 902 (IS-902),2001-039A,2026-08-11T11:49:49.716192,1.00273189,.00041951,6.2519,71.0900,67.6219,308.5926,0,U,26900,999,9125,0,-.301E-5,0
INTELSAT 904 (IS-904),2002-007A,2026-08-11T22:46:34.713696,1.00270206,.00040166,7.0551,68.4968,52.2936,149.7800,0,U,27380,999,5232,0,-.244E-5,0
DIRECTV 5 (TEMPO 1),2002-023A,2026-08-11T14:58:06.801312,1.00271814,.00033435,5.0148,74.5998,86.8980,273.0128,0,U,27426,999,8867,0,-.75E-6,0
INTELSAT 905 (IS-905),2002-027A,2026-08-11T18:15:33.182208,1.00272061,.00029874,6.8885,69.1115,83.9561,303.8345,0,U,27438,999,5192,0,.76E-6,0
GALAXY 3C (G-3C),2002-030A,2026-08-11T14:58:12.383616,1.00271010,.00014464,3.8749,77.2624,41.6507,330.8571,0,U,27445,999,4705,0,-.17E-5,0
INTELSAT 906 (IS-906),2002-041A,2026-08-11T23:26:30.164928,1.00273320,.00029296,5.9392,72.2168,59.3821,244.6233,0,U,27513,999,8758,0,-.6E-7,0
GALAXY 13 (HORIZONS-1),2003-044A,2026-08-11T18:11:56.028768,1.00271676,.00021384,1.5577,83.1138,55.0810,304.9842,0,U,27954,999,4712,0,.115E-5,0
INTELSAT 10-02,2004-022A,2026-08-11T18:54:21.959424,1.00271769,.00004206,0.0605,267.3462,333.4403,2.0408,0,U,28358,999,8111,0,-.28E-6,0
DIRECTV 8,2005-019A,2026-08-11T14:55:29.551584,1.00271530,.00031472,0.0098,112.7571,46.7960,265.3403,0,U,28659,999,7762,0,-.15E-6,0
GALAXY 28 (G-28),2005-022A,2026-08-11T18:47:00.165984,1.00272443,.0002612,3.4369,78.2263,56.9955,79.6743,0,U,28702,999,5253,0,-.218E-5,0
GALAXY 16 (G-16),2006-023A,2026-08-11T15:01:14.001600,1.00271803,.00026624,0.0231,191.2069,315.3575,299.8122,0,U,29236,999,7352,0,-.143E-5,0
DIRECTV 9S,2006-043A,2026-08-11T15:00:36.561888,1.00271766,.00041302,2.5589,80.2056,52.2040,311.6228,0,U,29494,999,5194,0,-.131E-5,0
GALAXY 17 (G-17),2007-016B,2026-08-11T13:22:30.968832,1.00271964,.00029994,3.1063,79.1792,71.0548,285.3995,0,U,31307,999,7035,0,-.224E-5,0
INTELSAT 11 (IS-11),2007-044B,2026-08-11T14:55:44.528160,0.99046485,.00059014,3.7048,77.9693,113.2826,234.6852,0,U,32253,999,6899,0,.51E-6,0
HORIZONS-2,2007-063B,2026-08-11T18:33:38.946816,1.00273235,.0002495,2.7405,79.9168,37.9759,46.9478,0,U,32388,999,6837,0,-.271E-5,0
DIRECTV 11,2008-013A,2026-08-11T15:01:14.001600,1.00271341,.00000147,0.0017,297.8885,285.4110,222.8950,0,U,32729,999,4614,0,-.142E-5,0
GALAXY 18 (G-18),2008-024A,2026-08-11T16:36:57.014784,1.00271949,.00030887,0.0132,83.0983,75.8498,287.4297,0,U,32951,999,4640,0,.9E-7,0
GALAXY 19 (G-19),2008-045A,2026-08-11T13:19:08.791968,1.00270458,.00024719,0.0645,263.3806,247.6023,271.8070,0,U,33376,999,6545,0,-.155E-5,0
FM-5,2009-034A,2026-08-11T15:04:51.155040,1.00269864,.00011103,0.0654,268.2652,121.4060,70.4636,0,U,35493,999,4720,0,-.216E-5,0
INTELSAT 14 (IS-14),2009-064A,2026-08-11T18:41:53.155680,1.00269966,.00024522,0.0526,84.9445,72.1524,38.5996,0,U,36097,999,6116,0,-.29E-5,0
INTELSAT 15 (IS-15),2009-067A,2026-08-11T20:25:33.576384,1.00267314,.0002125,0.0162,100.5648,44.1330,207.1562,0,U,36106,999,4178,0,0,0
DIRECTV 12,2009-075A,2026-08-11T15:00:14.097888,1.00270960,.00007473,0.0064,109.2799,187.2504,145.8872,0,U,36131,999,4710,0,-.12E-5,0
INTELSAT 16 (IS-16),2010-006A,2026-08-11T18:32:46.529664,1.00270225,.00020248,0.0166,71.4381,81.6423,9.1284,0,U,36397,999,6021,0,-.261E-5,0
XM-5,2010-053A,2026-08-11T16:39:19.287936,1.00268455,.00010863,0.0666,271.7956,315.9581,227.0160,0,U,37185,999,5804,0,-.39E-6,0
INTELSAT 17 (IS-17),2010-065B,2026-08-11T23:27:22.478400,1.00272247,.00026214,0.0176,80.4030,73.3031,224.5616,0,U,37238,999,5380,0,-.19E-6,0
INTELSAT 28 (IS-28),2011-016A,2026-08-11T18:45:37.797408,1.00271038,.00038197,1.9450,81.9060,69.4907,58.5422,0,U,37392,999,5384,0,-.242E-5,0
INTELSAT 18 (IS-18),2011-056A,2026-08-11T18:03:19.354176,1.00271480,.00020283,0.0550,262.9862,261.8945,246.1493,0,U,37834,999,5436,0,.36E-6,0
INTELSAT 22 (IS-22),2012-011A,2026-08-11T19:56:10.141152,1.00272162,.00018752,0.0159,80.8705,69.0919,181.4597,0,U,38098,999,774,0,-.75E-6,0
INTELSAT 19 (IS-19),2012-030A,2026-08-11T17:59:19.736736,1.00267950,.0003028,0.0243,95.7284,53.9743,246.3438,0,U,38356,999,5100,0,0,0
INTELSAT 20 (IS-20),2012-043A,2026-08-11T23:30:32.763168,1.00274384,.00013147,0.0176,108.5531,55.5943,217.4284,0,U,38740,999,5130,0,-.42E-6,0
INTELSAT 21 (IS-21),2012-045A,2026-08-11T22:19:53.015808,1.00269667,.00018865,0.0420,275.5092,252.9849,68.8491,0,U,38749,999,5108,0,-.302E-5,0
INTELSAT 23 (IS-23),2012-057A,2026-08-11T18:39:38.371680,1.00274615,.00007546,0.0071,62.0818,144.5419,340.5368,0,U,38867,999,5051,0,-.301E-5,0
FM-6,2013-058A,2026-08-11T14:56:14.481312,1.00271413,.00005496,0.0108,32.7437,185.1398,209.8838,0,U,39360,999,4662,0,-.32E-6,0
INTELSAT 30 (IS-30),2014-062A,2026-08-11T13:19:46.231680,1.00267769,.00014565,0.0126,62.9267,326.9494,35.0211,0,U,40271,999,734,0,-.167E-5,0
DIRECTV 14,2014-078B,2026-08-11T15:01:14.001600,1.00271525,.00004988,0.0125,64.3112,306.3622,75.4742,0,U,40333,999,4259,0,-.142E-5,0
DIRECTV 15,2015-026A,2026-08-11T15:00:06.609600,1.00271095,.0000451,0.0242,87.9570,269.3594,84.9135,0,U,40663,999,4101,0,-.119E-5,0
SKY MEXICO-1,2015-026B,2026-08-11T13:24:23.288832,1.00270165,.00025505,0.0190,79.2446,81.8777,281.1851,0,U,40664,999,4100,0,-.25E-5,0
