OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
IRIDIUM 106,2017-003A,2026-06-14T07:18:50.216832,14.34217439,.00017761,86.3963,89.7612,83.7791,276.3607,0,U,41917,999,49279,-.7010694E-5,0,0
IRIDIUM 103,2017-003B,2026-06-14T15:22:54.272352,14.34217887,.00023426,86.3962,89.5204,78.4165,281.7293,0,U,41918,999,49286,.24379806E-4,.88E-6,0
IRIDIUM 109,2017-003C,2026-06-14T12:11:06.284832,14.34217520,.00021621,86.3961,89.6356,83.1600,276.9842,0,U,41919,999,49281,-.3532718E-5,.1E-6,0
IRIDIUM 102,2017-003D,2026-06-14T13:05:54.271392,14.34217893,.00022274,86.3962,89.5432,85.8424,274.3027,0,U,41920,999,49290,.14676253E-4,.61E-6,0
IRIDIUM 105,2017-003E,2026-06-14T05:24:25.231392,14.34218710,.0002522,86.3968,58.1087,83.8566,276.2917,0,U,41921,999,49471,.54708E-4,.173E-5,0
IRIDIUM 104,2017-003F,2026-06-14T06:42:18.322272,14.34217775,.0002492,86.3963,89.6971,81.4207,278.7271,0,U,41922,999,49285,.8434648E-5,.43E-6,0
IRIDIUM 114,2017-003G,2026-06-14T11:52:50.309472,14.34217600,.00023473,86.3963,89.5902,81.1710,278.9752,0,U,41923,999,49286,.396437E-6,.21E-6,0
IRIDIUM 108,2017-003H,2026-06-14T10:53:06.483264,14.34218064,.0002245,86.3962,57.9034,86.7227,273.4225,0,U,41924,999,49471,.24232177E-4,.88E-6,0
IRIDIUM 112,2017-003J,2026-06-14T13:15:02.280672,14.34217723,.00023416,86.3959,89.4085,83.8839,276.2623,0,U,41925,999,49289,.15845699E-4,.64E-6,0
IRIDIUM 111,2017-003K,2026-06-14T07:55:23.009088,14.34216577,.0002242,86.3961,89.5717,82.1840,277.9610,0,U,41926,999,49284,.56112925E-4,.177E-5,0
IRIDIUM 113,2017-039A,2026-06-14T12:27:55.206144,14.34217770,.00022888,86.3968,323.2942,89.1895,270.9563,0,U,42803,999,47080,.3055166E-5,.28E-6,0
IRIDIUM 123,2017-039B,2026-06-14T13:27:38.899296,14.34217439,.00020211,86.3970,354.7352,84.9654,275.1772,0,U,42804,999,46957,.20229458E-4,.76E-6,0
IRIDIUM 120,2017-039C,2026-06-14T12:18:46.888416,14.34215603,.00020108,86.3957,323.0796,94.5248,265.6178,0,U,42805,999,47079,.71182189E-4,.219E-5,0
IRIDIUM 115,2017-039D,2026-06-14T11:36:57.238848,14.43281926,.00019776,86.4494,323.2201,89.1502,270.9926,0,U,42806,999,47387,.39160434E-4,.152E-5,0
IRIDIUM 118,2017-039E,2026-06-14T14:13:18.830784,14.34218613,.00022033,86.3971,354.7202,88.5526,271.5922,0,U,42807,999,46957,.40917511E-4,.134E-5,0
IRIDIUM 117,2017-039F,2026-06-14T13:00:14.905152,14.34217975,.00021166,86.3971,354.6992,86.3837,273.7601,0,U,42808,999,46959,.10198144E-4,.48E-6,0
IRIDIUM 126,2017-039G,2026-06-14T13:36:46.899936,14.34217829,.00022166,86.3970,354.7394,85.6473,274.4976,0,U,42809,999,46957,.17852674E-4,.7E-6,0
IRIDIUM 124,2017-039H,2026-06-14T10:01:39.514944,14.43280819,.00021732,86.4480,291.5168,92.8587,267.2862,0,U,42810,999,47471,.74807307E-4,.272E-5,0
IRIDIUM 128,2017-039J,2026-06-14T13:23:26.676096,14.34218133,.00020036,86.3969,26.2498,87.2645,272.8780,0,U,42811,999,46960,.23095891E-4,.84E-6,0
IRIDIUM 121,2017-039K,2026-06-14T14:04:10.894944,14.34218307,.00021199,86.3971,354.7592,90.6984,269.4455,0,U,42812,999,46945,.4809034E-4,.154E-5,0
IRIDIUM 133,2017-061A,2026-06-14T14:09:06.579936,14.34217225,.00021024,86.3970,26.3540,85.7583,274.3853,0,U,42955,999,45440,.15577556E-4,.63E-6,0
IRIDIUM 100,2017-061B,2026-06-14T13:59:58.556832,14.34216874,.00021638,86.3968,26.2755,86.9975,273.1469,0,U,42956,999,45440,.29494986E-4,.102E-5,0
IRIDIUM 122,2017-061C,2026-06-14T13:14:18.741120,14.34217361,.00020833,86.3965,26.2887,84.2117,275.9316,0,U,42957,999,45440,-.797597E-5,-.3E-7,0
IRIDIUM 129,2017-061D,2026-06-14T13:50:50.732448,14.34218139,.00024216,86.3969,26.3454,86.2559,273.8914,0,U,42958,999,45442,.31588398E-4,.108E-5,0
IRIDIUM 119,2017-061E,2026-06-14T13:05:10.747392,14.34217690,.000224,86.3970,26.3544,83.9371,276.2080,0,U,42959,999,45443,.4460902E-5,.32E-6,0
