OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
SAR-LUPE 2,2007-030A,2026-08-10T22:55:02.431200,15.57669339,.00076152,98.1069,334.5283,209.2138,150.8690,0,U,31797,999,6544,.22125048E-3,.16277E-3,0
SAPPHIRE,2013-009C,2026-08-10T21:18:29.797632,14.35253464,.00124334,98.4293,41.0547,86.7225,273.5383,0,U,39088,999,70442,.22958122E-4,.23E-6,0
PRAETORIAN SDA_602,2025-203A,2026-08-10T18:03:15.442848,13.83890872,.00068272,81.3058,320.2599,56.5689,303.6119,0,U,65565,999,4624,.1629093E-4,.3E-6,0
PRAETORIAN SDA_603,2025-203B,2026-08-10T18:41:58.238592,13.83962474,.00104419,81.3066,320.1554,50.3031,309.9045,0,U,65566,999,4625,.82348233E-4,.103E-5,0
PRAETORIAN SDA_604,2025-203C,2026-08-10T18:17:04.579584,13.83053659,.00064355,81.3081,320.6694,61.2594,298.9207,0,U,65567,999,4622,.10911344E-4,.24E-6,0
PRAETORIAN SDA_605,2025-203D,2026-08-10T18:59:03.016896,13.83202907,.00089578,81.3045,320.2671,49.3113,310.8820,0,U,65568,999,4624,.19397939E-4,.33E-6,0
PRAETORIAN SDA_606,2025-203E,2026-08-10T18:37:43.704192,13.83201679,.00069077,81.3081,320.5291,54.8355,305.3447,0,U,65569,999,4623,.1058391E-4,.24E-6,0
PRAETORIAN SDA_607,2025-203F,2026-08-10T18:08:23.636832,13.83760711,.0009615,81.3066,320.1401,50.3698,309.8306,0,U,65570,999,4625,.99920425E-4,.123E-5,0
PRAETORIAN SDA_608,2025-203G,2026-08-10T17:41:32.531712,13.83821916,.00068956,81.3034,320.3100,59.2404,300.9430,0,U,65571,999,4623,.5767744E-5,.18E-6,0
PRAETORIAN SDA_609,2025-203H,2026-08-10T17:26:22.905600,13.84213508,.00076357,81.3076,320.2936,52.9305,307.2549,0,U,65572,999,4624,-.4385854E-5,.7E-7,0
PRAETORIAN SDA_610,2025-203J,2026-08-10T19:07:38.596800,13.83531463,.00075977,81.3036,320.2304,57.6006,302.5884,0,U,65573,999,4624,.12562072E-4,.26E-6,0
PRAETORIAN SDA_611,2025-203K,2026-08-10T17:42:22.208256,13.83312388,.0006557,81.3040,320.4753,64.0248,296.1583,0,U,65574,999,4622,.21424841E-3,.247E-5,0
PRAETORIAN SDA_612,2025-203L,2026-08-10T19:17:23.649216,13.85043685,.00100311,81.3057,319.8672,50.0875,310.1162,0,U,65575,999,4627,.12411904E-3,.152E-5,0
PRAETORIAN SDA_613,2025-203M,2026-08-10T18:22:54.300864,13.82770236,.00064748,81.3027,320.4895,54.4099,305.7660,0,U,65576,999,4622,.4504591E-5,.17E-6,0
PRAETORIAN SDA_614,2025-203N,2026-08-10T17:32:38.768064,13.84781396,.00078819,81.3041,320.0262,50.5938,309.5916,0,U,65577,999,4626,.31525508E-4,.47E-6,0
PRAETORIAN SDA_615,2025-203P,2026-08-10T19:02:45.255840,13.84439943,.00097504,81.3049,319.9666,48.9943,311.2056,0,U,65578,999,4626,.11002153E-3,.135E-5,0
PRAETORIAN SDA_616,2025-203Q,2026-08-10T19:27:42.582528,13.83272389,.00064498,81.3092,320.5898,61.6633,298.5173,0,U,65579,999,4623,.12328221E-3,.147E-5,0
PRAETORIAN SDA_617,2025-203R,2026-08-10T18:21:21.076128,13.83154572,.00081346,81.3065,320.4589,50.5572,309.6303,0,U,65580,999,4623,.13155157E-4,.26E-6,0
PRAETORIAN SDA_618,2025-203S,2026-08-10T18:21:36.987552,13.84226736,.00106376,81.3048,319.9329,51.5962,308.6149,0,U,65581,999,4626,.11645738E-3,.142E-5,0
PRAETORIAN SDA_619,2025-203T,2026-08-10T17:57:35.762976,13.83727790,.00089499,81.3071,320.3012,49.8123,310.3815,0,U,65582,999,4687,.1858532E-3,.217E-5,0
PRAETORIAN SDA_620,2025-203U,2026-08-10T19:04:25.237056,13.83209956,.00081951,81.3058,320.3111,48.5978,311.5882,0,U,65583,999,4624,.10125397E-3,.123E-5,0
PRAETORIAN SDA_621,2025-203V,2026-08-10T18:00:02.207520,13.83807387,.00080368,81.3048,320.2249,45.6988,314.4826,0,U,65584,999,4624,.17546883E-4,.31E-6,0
PRAETORIAN SDA_601,2025-203W,2026-08-10T17:53:44.206656,13.83172809,.00065343,81.3071,320.5871,65.1118,295.0717,0,U,65585,999,4622,.46468887E-4,.63E-6,0
VICTUS HAZE PUMA,2026-142A,2026-08-10T21:18:24.422688,15.21064591,.0009017,97.3802,119.8824,186.6262,173.4856,0,U,69646,999,798,.81710038E-4,.1748E-4,0
