OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-37501,2026-119A,2026-06-28T14:00:01.000224,15.33439258,.00016278,97.2849,205.4618,95.2666,120.8192,0,U,69296,999,571,.67645194E-3,.21823E-3,0
STARLINK-37496,2026-119B,2026-06-28T13:56:49.231104,15.49202977,.00010211,97.2838,205.5258,81.2034,278.9333,0,U,69297,999,580,.10987646E-2,.60155E-3,0
STARLINK-37519,2026-119C,2026-06-28T14:00:01.000224,15.36974605,.00009381,97.2845,205.4654,90.7882,137.4054,0,U,69298,999,571,.55982795E-3,.20195E-3,0
STARLINK-37455,2026-119D,2026-06-28T14:00:01.000224,15.44024184,.00018959,97.2853,205.4433,80.8630,75.2976,0,U,69299,999,571,-.59394367E-1,-.2407887E-1,0
STARLINK-37456,2026-119E,2026-06-28T14:00:01.000224,15.33422117,.00016492,97.2849,205.4800,101.5606,159.5608,0,U,69300,999,571,.83247484E-3,.26877E-3,0
STARLINK-37630,2026-119F,2026-06-28T14:04:38.125632,15.49207944,.00015381,97.2853,205.3627,85.0400,275.1026,0,U,69301,999,579,.31828699E-3,.1727E-3,0
STARLINK-37804,2026-119G,2026-06-28T14:06:27.761184,15.49195376,.00015408,97.2842,205.3622,95.6952,264.4475,0,U,69302,999,579,.77750809E-3,.42434E-3,0
STARLINK-37730,2026-119H,2026-06-28T14:00:01.000224,15.33462740,.00007011,97.2843,205.4989,81.7714,224.2632,0,U,69303,999,587,.66916454E-3,.21602E-3,0
STARLINK-37731,2026-119J,2026-06-28T14:08:00.506400,15.49215496,.00007187,97.2835,205.3579,88.8184,271.3149,0,U,69304,999,579,.71267813E-3,.38897E-3,0
STARLINK-37734,2026-119K,2026-06-28T14:00:01.000224,15.40016337,.00021045,97.2851,205.5054,119.3770,192.9800,0,U,69305,999,587,-.10318072E+0,-.36175E-1,0
STARLINK-37701,2026-119L,2026-06-28T14:00:01.000224,15.33435566,.00020776,97.2845,205.5173,93.0176,257.9665,0,U,69306,999,587,.46452451E-3,.14947E-3,0
STARLINK-37732,2026-119M,2026-06-28T13:58:27.578496,15.33439044,.00013116,97.2850,205.5245,97.3931,262.7461,0,U,69307,999,580,.39075316E-3,.12559E-3,0
STARLINK-37689,2026-119N,2026-06-28T14:03:04.013568,15.49219248,.00010793,97.2848,205.3633,106.0371,254.0999,0,U,69308,999,579,.57962233E-3,.31593E-3,0
STARLINK-37619,2026-119P,2026-06-28T13:50:48.000480,15.35525193,.00016803,97.2840,205.5301,159.5094,200.6217,0,U,69309,999,580,-.26504985E-1,-.844276E-2,0
STARLINK-37794,2026-119Q,2026-06-28T14:01:24.091104,15.47170007,.00003892,97.2837,205.5195,196.7586,163.3652,0,U,69310,999,580,-.11403502E-1,-.540068E-2,0
STARLINK-37795,2026-119R,2026-06-28T13:56:30.764832,15.49206114,.00004624,97.2837,205.3719,81.4413,278.6891,0,U,69311,999,579,.44153369E-3,.2401E-3,0
STARLINK-37790,2026-119S,2026-06-28T14:00:01.000224,15.36968079,.00017054,97.2847,205.5499,89.8096,338.5418,0,U,69312,999,587,.56257394E-4,.1954E-4,0
STARLINK-37676,2026-119T,2026-06-28T14:00:01.000224,15.33429086,.00017264,97.2844,205.5623,80.4812,15.6513,0,U,69313,999,587,.31664214E-3,.10156E-3,0
STARLINK-37617,2026-119U,2026-06-28T14:00:01.000224,15.37472802,.00018403,97.2849,205.5724,77.4422,27.1719,0,U,69314,999,587,-.52890881E-1,-.1754632E-1,0
STARLINK-37627,2026-119V,2026-06-28T14:00:01.000224,15.36967809,.00016943,97.2844,205.5568,92.3466,356.7061,0,U,69315,999,587,.42731786E-3,.15383E-3,0
STARLINK-37738,2026-119W,2026-06-28T14:00:01.000224,15.39424864,.00020908,97.2849,205.5791,82.3110,44.8787,0,U,69316,999,587,-.76341999E-1,-.26233E-1,0
STARLINK-37799,2026-119X,2026-06-28T14:00:01.000224,15.33453007,.00020092,97.2849,205.5874,83.5498,72.5282,0,U,69317,999,582,.39026625E-3,.12549E-3,0
STARLINK-37802,2026-119Y,2026-06-28T14:00:01.000224,15.33432600,.00007875,97.2850,205.5952,59.1627,111.8199,0,U,69318,999,587,.80588231E-3,.26021E-3,0
STARLINK-37803,2026-119Z,2026-06-28T14:01:58.256256,15.49221455,.00000315,97.2842,205.5201,37.3319,322.7935,0,U,69319,999,455,.13074128E-2,.71748E-3,0
GUOWANG TEST OBJECT A,2026-120A,2026-06-21T19:36:26.634816,15.38939558,.00113591,55.0017,6.9033,337.7695,22.2839,0,U,69320,999,340,.23139514E-3,.8673E-4,0
GUOWANG TEST OBJECT B,2026-120B,2026-06-28T13:41:35.081952,15.39012768,.00118385,54.9988,336.4812,359.7541,0.3480,0,U,69321,999,444,.31449399E-3,.11966E-3,0
GUOWANG TEST OBJECT C,2026-120C,2026-06-27T18:44:57.674976,15.39448513,.00122361,54.9975,339.9285,3.5721,356.5393,0,U,69322,999,432,.39301651E-3,.15282E-3,0
GUOWANG TEST OBJECT D,2026-120D,2026-06-28T15:13:02.783136,15.37783837,.00127429,54.9981,336.1782,14.1744,345.9639,0,U,69323,999,445,.27701628E-3,.10071E-3,0
QIANFAN-163,2026-121A,2026-06-20T19:57:23.546592,13.59758614,.00204763,89.0159,300.1473,178.2353,181.8879,0,U,69325,999,265,.30105417E-4,.35E-6,0
QIANFAN-164,2026-121B,2026-06-28T15:25:25.840416,13.57845910,.00210519,89.0178,299.3642,155.7406,204.4745,0,U,69326,999,371,.15611563E-3,.125E-5,0
CZ-12B R/B,2026-121C,2026-06-28T13:28:00.544224,14.04087854,.01939189,89.0329,299.2091,330.8016,28.2431,0,U,69327,999,382,.42267315E-4,.91E-6,0
SZ-22 MODULE,2025-272C,2026-06-28T13:38:04.145856,15.60649523,.00073195,41.4794,252.9013,180.9931,179.0895,0,U,69328,999,510,.21570336E-3,.18115E-3,0
STARLINK-37733,2026-122A,2026-06-28T14:00:01.000224,15.42734559,.00015211,97.2846,209.3179,112.7297,232.0372,0,U,69329,999,518,-.58830527E-1,-.2295847E-1,0
STARLINK-37772,2026-122B,2026-06-28T14:00:01.000224,15.38071854,.00014085,97.2852,209.3405,95.6724,302.4227,0,U,69330,999,512,-.70017782E-1,-.2335787E-1,0
STARLINK-37768,2026-122C,2026-06-28T14:44:49.858080,15.49199452,.00016146,97.2840,209.2744,93.6282,266.5154,0,U,69331,999,393,.13895751E-2,.76249E-3,0
STARLINK-37833,2026-122D,2026-06-28T14:01:03.276480,15.49141068,.0001428,97.2845,209.3158,90.8852,269.2562,0,U,69332,999,393,-.68107654E-3,-.36898E-3,0
STARLINK-37818,2026-122E,2026-06-28T14:12:56.373696,15.49195895,.00010303,97.2847,209.3049,88.2391,271.8978,0,U,69333,999,393,.71298081E-3,.38887E-3,0
STARLINK-37868,2026-122F,2026-06-28T14:00:01.000224,15.36951032,.0001349,97.2849,209.3526,99.5754,340.8154,0,U,69334,999,518,.71585639E-3,.25845E-3,0
STARLINK-37877,2026-122G,2026-06-28T13:14:37.225536,15.50962727,.00115342,97.2847,209.2065,149.6293,210.5629,0,U,69335,999,392,.96247008E-2,.602258E-2,0
STARLINK-37791,2026-122H,2026-06-28T14:00:01.322496,15.49209496,.00011285,97.2825,209.3165,87.1068,273.0312,0,U,69336,999,393,.38587453E-3,.20967E-3,0
STARLINK-37765,2026-122J,2026-06-28T14:00:01.000224,15.33413540,.00009212,97.2845,209.3787,64.7092,85.5406,0,U,69337,999,523,.96567319E-3,.31198E-3,0
STARLINK-37788,2026-122K,2026-06-28T14:50:49.299360,15.49195551,.00006603,97.2845,209.2691,83.8458,276.2868,0,U,69338,999,393,.75832083E-3,.41378E-3,0
STARLINK-37743,2026-122L,2026-06-28T14:07:17.826528,15.49180470,.00004277,97.2829,209.3096,63.2983,296.8312,0,U,69339,999,393,.71474171E-3,.38963E-3,0
STARLINK-37780,2026-122M,2026-06-28T15:11:18.430944,15.49185792,.00012739,97.2849,209.4030,115.8305,244.3078,0,U,69340,999,394,.75466064E-3,.41164E-3,0
STARLINK-37781,2026-122N,2026-06-28T14:52:29.756640,15.49220821,.00004097,97.2869,209.2667,300.5987,59.5223,0,U,69341,999,393,.80570715E-3,.44023E-3,0
STARLINK-37782,2026-122P,2026-06-28T14:00:01.000224,15.43813610,.00020659,97.2844,209.4032,80.9234,109.0686,0,U,69342,999,518,-.60561357E-1,-.2434504E-1,0
STARLINK-37776,2026-122Q,2026-06-28T14:00:01.000224,15.44772185,.00018069,97.2851,209.3998,82.2457,93.4218,0,U,69343,999,518,-.4831698E-1,-.2013383E-1,0
STARLINK-37786,2026-122R,2026-06-28T13:58:17.158656,15.49240105,.00009599,97.2844,209.3198,109.1484,250.9871,0,U,69344,999,393,.44490483E-3,.24224E-3,0
STARLINK-37785,2026-122S,2026-06-28T14:43:32.656224,15.48462265,.00021489,97.2842,209.4304,163.9671,196.1649,0,U,69345,999,394,-.77710529E-2,-.392328E-2,0
STARLINK-37773,2026-122T,2026-06-28T15:12:34.749792,15.49207569,.00020893,97.2828,209.4022,74.0878,286.0603,0,U,69346,999,394,.7808666E-3,.42638E-3,0
STARLINK-37744,2026-122U,2026-06-28T14:46:38.576928,15.49196718,.00009099,97.2839,209.2734,79.9529,280.1825,0,U,69347,999,393,.12858908E-2,.70493E-3,0
STARLINK-37775,2026-122V,2026-06-28T15:12:05.239008,15.49210593,.00024127,97.2830,209.4023,87.3726,272.7801,0,U,69348,999,394,.97021628E-3,.53077E-3,0
STARLINK-37777,2026-122W,2026-06-28T13:37:38.740800,15.49224022,.00008069,97.2843,209.3392,99.7940,260.3403,0,U,69349,999,393,.13304622E-2,.73032E-3,0
STARLINK-37779,2026-122X,2026-06-28T14:48:54.442656,15.49191292,.0001758,97.2842,209.4242,81.1178,279.0272,0,U,69350,999,394,.12349124E-2,.67659E-3,0
STARLINK-37549,2026-122Y,2026-06-28T14:13:48.518688,15.49196062,.00017812,97.2845,209.3054,88.9936,271.1519,0,U,69351,999,393,.10639722E-2,.58221E-3,0
STARLINK-37778,2026-122Z,2026-06-28T14:02:21.068448,15.49208604,.0000802,97.2833,209.3164,73.6415,286.4924,0,U,69352,999,393,.86046546E-3,.47019E-3,0
STARLINK-37651,2026-123A,2026-06-28T07:10:10.945920,15.80970135,.00008658,53.1552,186.1188,67.9176,292.1939,0,U,69353,999,379,.14531125E-2,.297536E-2,0
STARLINK-37652,2026-123B,2026-06-28T11:44:55.738464,15.80967735,.00006253,53.1551,185.1765,96.2857,263.8237,0,U,69354,999,382,.10158014E-2,.205529E-2,0
STARLINK-37593,2026-123C,2026-06-28T11:43:40.638720,15.81030910,.00008807,53.1539,185.1693,77.8971,282.2151,0,U,69355,999,382,.19158327E-2,.398296E-2,0
STARLINK-37597,2026-123D,2026-06-28T14:00:01.000224,15.75264186,.0001138,53.1585,184.8826,87.3719,1.3781,0,U,69356,999,503,-.30829288E-3,-.47683E-3,0
STARLINK-37598,2026-123E,2026-06-28T11:38:18.652704,15.80929779,.00013482,53.1563,185.1451,96.8804,263.2372,0,U,69357,999,382,.92932853E-3,.187241E-2,0
STARLINK-37602,2026-123F,2026-06-28T06:39:27.613152,15.75245452,.00010894,53.1587,186.7150,97.8989,262.2155,0,U,69358,999,378,.11344434E-2,.176991E-2,0
STARLINK-37600,2026-123G,2026-06-28T06:33:23.397408,15.75239286,.00011602,53.1570,186.6869,78.2610,281.8541,0,U,69359,999,378,.13282289E-2,.20805E-2,0
STARLINK-37599,2026-123H,2026-06-28T12:54:24.695712,15.80967665,.00010616,53.1550,184.7582,102.2131,257.9010,0,U,69360,999,383,.1330148E-2,.271432E-2,0
