OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
ONEWEB-0012,2019-010A,2026-08-08T11:06:51.852096,13.16590525,.000175,87.9083,218.3985,99.2723,260.8606,0,U,44057,999,35844,.24695E-2,.957E-5,0
ONEWEB-0010,2019-010B,2026-08-08T11:43:19.772256,13.16594993,.0002451,87.9085,218.3904,87.4303,272.7108,0,U,44058,999,35849,-.65397E-4,-.12E-6,0
ONEWEB-0008,2019-010C,2026-08-08T10:30:21.710592,13.16593656,.0001692,87.9082,218.3957,83.2984,276.8340,0,U,44059,999,35860,.25056E-3,.109E-5,0
ONEWEB-0007,2019-010D,2026-08-08T12:20:41.714016,13.15549414,.000224,87.8958,248.7907,99.9326,260.2057,0,U,44060,999,35825,.58949E-4,.35E-6,0
ONEWEB-0006,2019-010E,2026-08-08T12:26:23.757792,13.15547925,.0002103,87.8969,248.7594,89.6645,270.4726,0,U,44061,999,35830,.29588E-3,.124E-5,0
ONEWEB-0011,2019-010F,2026-08-08T02:33:09.077184,13.15547944,.00021112,87.8972,248.8518,88.2055,271.9317,0,U,44062,999,35824,-.30171859E-3,-.101E-5,0
ONEWEB-0013,2020-008A,2026-08-08T12:16:26.022720,13.09456105,.0001296,87.8488,42.2566,121.7572,238.3681,0,U,45131,999,31291,.81256E-3,.293E-5,0
ONEWEB-0017,2020-008B,2026-08-08T10:58:36.260832,13.10371061,.0002025,87.8834,25.8506,89.3493,270.7867,0,U,45132,999,31479,.17599E-2,.627E-5,0
ONEWEB-0020,2020-008C,2026-08-08T12:04:33.836160,13.10376260,.000177,87.8842,25.8421,91.7109,268.4221,0,U,45133,999,31519,-.55596E-3,-.181E-5,0
ONEWEB-0021,2020-008D,2026-08-08T10:36:36.866304,13.10375272,.0001853,87.8832,25.8669,95.0091,265.1247,0,U,45134,999,31549,.15437E-2,.552E-5,0
ONEWEB-0023,2020-008F,2026-08-08T10:52:31.094688,13.10372040,.0001619,87.8835,25.8502,90.8250,269.3063,0,U,45136,999,31492,.19219E-2,.684E-5,0
ONEWEB-0024,2020-008G,2026-08-08T12:02:18.581280,13.10375894,.0001845,87.8847,25.8359,92.4063,267.7276,0,U,45137,999,31509,-.87752E-3,-.294E-5,0
ONEWEB-0025,2020-008H,2026-08-08T12:01:54.600096,13.10375847,.0001691,87.8848,25.8257,76.4882,283.6434,0,U,45138,999,31542,-.11708E-2,-.396E-5,0
ONEWEB-0026,2020-008J,2026-08-08T10:07:40.107936,13.11415146,.0001925,87.8912,10.6698,92.1920,267.9428,0,U,45139,999,31795,.75988E-3,.282E-5,0
ONEWEB-0028,2020-008K,2026-08-08T11:20:30.657120,13.11418342,.0001564,87.8910,10.6652,111.7018,248.4277,0,U,45140,999,31547,.87053E-3,.321E-5,0
