OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
ORBCOMM FM06,1997-084G,2026-08-10T04:38:24.726336,14.47676260,.000136,45.0130,152.6989,313.9110,186.1971,0,U,25118,999,50221,.18095E-3,.528E-5,0
ORBCOMM FM04,1998-007C,2026-08-10T09:22:01.322976,14.35817481,.0041954,107.9626,280.9830,232.5849,127.1470,0,U,25159,999,48437,.14801E-3,.3E-5,0
ORBCOMM FM19,1998-046C,2026-08-10T10:02:11.908032,14.39586172,.0004981,44.9952,345.7622,215.3933,190.7829,0,U,25415,999,46459,.18067E-3,.427E-5,0
ORBCOMM FM20,1998-046D,2026-08-10T09:46:04.683360,14.38134442,.0002078,44.9955,354.3401,204.9159,155.1589,0,U,25416,999,46459,.1344E-3,.269E-5,0
ORBCOMM FM27,1998-053G,2026-08-09T23:38:41.942688,14.39226265,.0000726,45.0051,79.8111,91.0729,269.0203,0,U,25481,999,45798,.1579E-3,.351E-5,0
ORBCOMM FM32,1999-065C,2026-08-10T03:55:51.477600,14.37198092,.0006815,45.0152,277.7355,306.7265,53.2957,0,U,25982,999,39485,.12507E-3,.234E-5,0
ORBCOMM FM109,2014-040A,2026-08-10T08:08:55.931136,14.58888047,.0000457,47.0018,195.4496,122.2430,237.8500,0,U,40086,999,64225,.48832E-4,.6E-6,0
ORBCOMM FM110,2015-081D,2026-08-10T01:39:56.256768,14.58952199,.0003351,47.0017,106.6568,320.6666,39.3976,0,U,41182,999,56549,.88427E-4,.247E-5,0
ORBCOMM FM118,2015-081E,2026-08-10T02:29:55.493664,14.58935083,.0003425,47.0040,106.8391,284.4363,75.6143,0,U,41183,999,56560,.87154E-4,.241E-5,0
ORBCOMM FM112,2015-081F,2026-08-10T10:47:52.127232,14.58969280,.0002517,47.0001,13.6378,107.5164,252.5997,0,U,41184,999,56687,.72757E-4,.173E-5,0
ORBCOMM FM113,2015-081G,2026-08-10T11:55:48.199296,14.58905302,.0001068,47.0018,13.8214,115.5020,244.5976,0,U,41185,999,56686,.56751E-4,.97E-6,0
ORBCOMM FM108,2015-081J,2026-08-10T12:38:50.488800,14.58943460,.000128,47.0049,285.2673,99.3135,260.7896,0,U,41187,999,56801,.7314E-4,.175E-5,0
ORBCOMM FM117,2015-081K,2026-08-10T06:53:59.559360,14.58929380,.0001747,47.0012,285.0207,106.1393,253.9685,0,U,41188,999,56802,.74037E-4,.179E-5,0
ORBCOMM FM116,2015-081L,2026-08-10T11:21:02.930112,14.58933811,.0001683,47.0036,13.9314,294.0490,66.0219,0,U,41189,999,56686,.63251E-4,.128E-5,0
