OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
SCD 1,1993-009B,2026-06-29T22:18:15.299136,14.46123593,.00416298,24.9684,128.8985,272.8435,136.6640,0,U,22490,999,76296,.65876063E-4,.428E-5,0
TECHSAT 1B (GO-32),1998-043D,2026-06-30T11:32:20.406336,14.24430945,.00017001,99.0072,174.5750,138.6209,221.5098,0,U,25397,999,45322,.46516052E-4,.61E-6,0
SCD 2,1998-060A,2026-06-30T18:42:21.678048,14.45530802,.0016533,24.9967,348.3375,266.8289,222.9757,0,U,25504,999,46229,.56432E-4,.385E-5,0
DLR-TUBSAT,1999-029B,2026-06-30T19:06:06.092640,14.52430195,.0013314,98.6701,177.7479,312.2386,47.7679,0,U,25757,999,43522,.35856E-4,.98E-6,0
TERRA,1999-068A,2026-06-30T19:04:32.487744,14.61113696,.0002613,97.9449,230.8012,152.6121,333.6122,0,U,25994,999,41159,.91177E-4,.404E-5,0
MAROC-TUBSAT,2001-056D,2026-06-30T12:16:46.036416,13.70263063,.00205701,99.8087,358.6226,108.4018,320.3548,0,U,27004,999,22801,.18682082E-4,-.3E-6,0
AQUA,2002-022A,2026-06-30T20:52:40.803744,14.62178349,.0000696,98.4284,151.4267,74.9809,306.6103,0,U,27424,999,28527,.16162E-3,.764E-5,0
SHIYAN-1 (SY-1),2004-012A,2026-06-30T14:55:27.402816,15.34097000,.0004447,97.8690,260.5656,342.4850,17.6237,0,U,28220,999,21315,.40373E-3,.13246E-3,0
AURA,2004-026A,2026-06-30T19:36:48.792096,14.61349098,.0001164,98.3423,138.3839,84.9001,275.2332,0,U,28376,999,16820,.16488E-3,.767E-5,0
IRS-P5 (CARTOSAT-1),2005-017A,2026-06-30T11:59:47.913504,14.91083876,.00021561,97.5305,203.9605,64.6226,295.5216,0,U,28649,999,14580,.14294372E-3,.1364E-4,0
SINAH 1,2005-043D,2026-06-30T18:58:03.364608,14.64166716,.0013458,98.2878,316.1935,230.2877,129.7140,0,U,28893,999,10251,.69858E-4,.318E-5,0
RESURS-DK 1,2006-021A,2026-06-30T18:49:50.125152,15.13271968,.0006695,69.9341,304.3547,285.3513,74.6913,0,U,29228,999,10463,.12821E-3,.2178E-4,0
