OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
HST,1990-037B,2026-08-13T21:28:44.854176,15.31333498,.00024077,28.4728,45.9793,66.5636,293.5213,0,U,20580,999,79742,.10922063E-3,.3633E-4,0
POLAR,1996-013A,2026-08-13T00:50:14.795808,1.29845936,.65280008,79.9359,226.3724,207.1256,93.7482,0,U,23802,999,14559,0,.191E-5,0
SWAS,1998-071A,2026-08-13T23:42:55.130112,15.09921059,.000594,69.8931,78.4274,194.2728,165.8269,0,U,25560,999,50599,.10408E-3,.1586E-4,0
CXO,1999-040B,2026-08-15T13:24:40.301856,0.37807941,.77408355,57.0099,115.0559,309.7608,0.6456,0,U,25867,999,1754,0,.709E-5,0
XMM-NEWTON,1999-066A,2026-08-15T04:33:58.938336,0.50127109,.46569801,64.1708,282.2242,63.8636,0.0494,0,U,25989,999,2329,0,.28E-6,0
TERRA,1999-068A,2026-08-14T03:54:22.298112,14.61142250,.0003424,97.9416,273.3984,64.5379,20.3494,0,U,25994,999,41807,.42455E-4,.165E-5,0
CLUSTER II-FM7 (SAMBA),2000-041A,2026-08-16T08:33:20.293632,0.44877167,.9119992,149.5559,61.8704,279.7536,359.6603,0,U,26410,999,2057,0,.204628E-2,-.13535E-2
CLUSTER II-FM8 (TANGO),2000-045B,2026-08-12T16:57:21.378816,0.44445673,.9121832,149.7541,62.5547,280.2198,1.8952,0,U,26464,999,2056,0,.3961E-2,-.25351E-2
TIMED,2001-055B,2026-08-14T03:30:53.982432,14.95402674,.0002442,74.0673,118.3113,268.7677,91.3227,0,U,26998,999,33948,.58942E-4,.611E-5,0
CORIOLIS,2003-001A,2026-08-13T23:28:36.647616,14.19958790,.0014932,98.7153,231.9863,49.7506,310.4973,0,U,27640,999,22242,.43077E-4,.48E-6,0
SORCE,2003-004A,2026-08-14T04:19:08.467104,15.03974272,.0016279,39.9912,290.7355,109.3239,250.9317,0,U,27651,999,28063,.95226E-4,.1187E-4,0
MOST,2003-031D,2026-08-14T00:09:49.775904,14.21332691,.0011032,98.7070,232.9308,86.1680,274.0758,0,U,27843,999,19892,.26978E-4,.15E-6,0
SCISAT 1,2003-036A,2026-08-13T23:05:39.416928,14.81507075,.000616,73.9287,56.5442,110.6866,249.4971,0,U,27858,999,24000,.37437E-4,.257E-5,0
SWIFT,2004-047A,2026-08-13T21:28:53.620320,15.74318182,.00027443,20.5517,97.7895,24.8290,335.2289,0,U,28485,999,19595,.29596902E-3,.46042E-3,0
HINODE (SOLAR-B),2006-041A,2026-08-14T00:40:20.242848,14.68689759,.0018887,98.0555,241.3305,103.5347,256.7964,0,U,29479,999,6336,.5453E-4,.269E-5,0
SHIJIAN-6 02A (SJ-6 02A),2006-046A,2026-08-14T04:39:14.981760,15.17522513,.0001713,97.6322,267.7083,327.6937,32.4191,0,U,29505,999,8106,.20719E-3,.4086E-4,0
SHIJIAN-6 02B (SJ-6 02B),2006-046B,2026-08-14T04:38:57.908256,15.01468593,.0013565,97.7094,254.8838,223.1065,136.9098,0,U,29506,999,7944,-.11566E-4,-.211E-5,0
FGRST (GLAST),2008-029A,2026-08-14T04:07:20.750016,15.24197085,.0007795,25.5807,161.7821,291.8690,68.1019,0,U,33053,999,454,.58779E-4,.1811E-4,0
SDO,2010-005A,2026-08-14T03:49:35.228928,1.00276052,.0001827,34.7689,85.4589,59.2453,133.4172,0,U,36395,999,6064,0,-.88E-6,0
CRYOSAT 2,2010-013A,2026-08-14T04:20:56.217408,14.51898877,.0002723,92.0331,291.3964,91.3717,268.7802,0,U,36508,999,86649,.13359E-4,.57E-6,0
X-SAT,2011-015C,2026-08-14T05:09:28.370016,14.25219993,.0014033,98.3563,200.4898,167.6483,192.5044,0,U,37389,999,79594,-.63191E-4,-.19E-5,0
GCOM-W1 (SHIZUKU),2012-025A,2026-08-13T20:28:33.145824,14.57111466,.00012747,98.2033,165.5380,88.0774,336.3635,0,U,38337,999,75743,.50408125E-4,.182E-5,0
NUSTAR,2012-031A,2026-08-14T06:00:02.000160,15.09278115,.0008687,6.0266,318.4541,256.5084,46.4996,0,U,38358,999,130,.26133E-3,.5155E-4,0
NEOSSAT,2013-009D,2026-08-14T02:50:51.806688,14.35843891,.0012209,98.4211,44.7849,75.6299,284.6241,0,U,39089,999,70505,.3334E-4,.54E-6,0
BRITE-AUSTRIA,2013-009F,2026-08-14T00:27:00.315360,14.36562026,.0011359,98.4030,44.0348,70.1837,290.0573,0,U,39091,999,70535,.36109E-4,.63E-6,0
IRIS,2013-033A,2026-08-14T03:26:47.053824,14.85986863,.0025521,97.9307,65.2376,127.2177,233.1372,0,U,39197,999,70898,.63944E-4,.506E-5,0
HISAKI (SPRINT-A),2013-049A,2026-08-14T03:56:16.584576,13.55548372,.0136662,29.7196,285.2534,126.7890,234.5308,0,U,39253,999,63929,.48199E-4,.1E-5,0
CASSIOPE,2013-055A,2026-08-14T03:27:38.582784,15.28690344,.0278327,80.9165,356.1033,226.2054,131.5862,0,U,39265,999,67651,.31515E-3,.29874E-3,-.40193E-6
STSAT-3,2013-066G,2026-08-14T04:05:03.344640,15.03038756,.0009001,97.6267,195.1426,182.0276,178.0914,0,U,39422,999,69291,.81966E-4,.1044E-4,0
SWARM B,2013-067A,2026-08-14T03:08:48.672096,15.28879850,.0002706,87.7475,324.7228,103.8495,256.3056,0,U,39451,999,69209,.62742E-4,.1796E-4,0
SWARM A,2013-067B,2026-08-14T03:58:31.308096,15.50204804,.0002692,87.3305,34.6876,85.0089,275.1479,0,U,39452,999,71523,.10615E-3,.6031E-4,0
SWARM C,2013-067C,2026-08-14T03:58:24.039264,15.50204903,.0002661,87.3309,33.2692,85.2887,274.8678,0,U,39453,999,71519,.10667E-3,.6061E-4,0
BRITE-CA1 (TORONTO),2014-033L,2026-08-13T22:11:58.603776,14.72774935,.00798765,97.9808,353.8119,92.1329,268.9028,0,U,40020,999,65071,.68866662E-4,.409E-5,0
OCO 2,2014-035A,2026-08-14T04:19:47.717760,14.57151107,.0001306,98.2031,166.5964,83.2022,276.9325,0,U,40059,999,64449,.45428E-4,.16E-5,0
BRITE-PL2 (HEWELIUSZ),2014-049B,2026-08-13T21:05:28.686336,14.94768487,.00124573,97.9140,338.3436,279.1186,80.8624,0,U,40119,999,65006,.76242826E-4,.77E-5,0
MMS 1,2015-011A,2026-08-14T06:00:02.000160,0.28336422,.8281195,72.7424,348.0981,168.7315,101.3416,0,U,40482,999,135,0,-.1927E-4,0
MMS 2,2015-011B,2026-08-14T06:00:02.000160,0.28337231,.8284077,72.7451,348.0976,168.7318,101.3318,0,U,40483,999,135,0,-.1928E-4,0
MMS 3,2015-011C,2026-08-14T06:00:02.000160,0.28336374,.8282397,72.7462,348.1090,168.7418,101.2981,0,U,40484,999,135,0,-.1928E-4,0
