OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
LEMUR-1,2014-033AL,2026-06-03T22:54:19.067040,14.85188536,.00496452,97.7867,305.0553,120.8485,239.7628,0,U,40044,999,64350,.33051448E-3,.284E-4,0
LEMUR-2-GREENBERG,2017-042N,2026-06-04T12:56:26.359008,15.30914916,.0009696,97.3815,336.2266,56.8550,303.3620,0,U,42837,999,48645,.58482E-3,.17438E-3,0
LEMUR-2-ANDIS,2017-042P,2026-06-04T01:48:21.746880,15.34295092,.0009265,97.3677,335.9049,58.5132,301.7015,0,U,42838,999,48644,.70843E-3,.23518E-3,0
LEMUR-2-MONSON,2017-042Q,2026-06-04T01:29:37.918752,15.27642419,.00074076,97.4073,335.7437,50.3120,309.8772,0,U,42839,999,48616,.61840005E-3,.16668E-3,0
LEMUR-2-FURIAUS,2017-042R,2026-06-04T01:35:11.513472,15.29794594,.00086234,97.3769,333.7410,109.3571,250.8603,0,U,42840,999,48620,.66840387E-3,.19261E-3,0
LEMUR-2-PETERG,2017-042S,2026-06-04T07:29:39.588000,15.33341515,.0004272,97.3988,340.3274,43.6943,316.4637,0,U,42841,999,48646,.87019E-3,.28037E-3,0
LEMUR-2-DEMBITZ,2017-042T,2026-06-04T17:46:25.671360,15.29903722,.0007715,97.3822,337.4241,69.0521,291.1544,0,U,42842,999,48644,.60308E-3,.17422E-3,0
LEMUR-2-ZACHARY,2017-042W,2026-06-04T14:22:22.060416,15.49134625,.000374,97.3612,346.9776,74.8050,285.3614,0,U,42845,999,48725,.82559E-3,.44991E-3,0
LEMUR-2-KADI,2018-014E,2026-06-04T00:01:13.494432,16.29437538,.00107518,97.4308,86.5413,218.5886,141.4640,0,U,43184,999,45900,.13546809E-2,.5670531E-1,.2523326E-5
LEMUR-2-AMANDA-SVANTE,2021-034B,2026-06-04T04:19:17.941728,15.33486404,.0000868,97.5764,233.1304,273.8548,86.2594,0,U,48269,999,27906,.11185E-2,.36252E-3,0
LEMUR-2-SPECIAL-K,2021-034F,2026-06-04T11:17:46.664736,15.60930605,.0002646,97.5658,241.4438,237.6547,122.4454,0,U,48273,999,27970,.17681E-2,.150379E-2,0
LEMUR-2-EMBRIONOVIS,2023-084AQ,2026-06-04T04:25:19.768512,15.37210087,.00086903,97.6283,298.8891,9.7326,350.4085,0,U,56970,999,16568,.40876087E-3,.14838E-3,0
LEMUR-2-DEVERILL-M-T,2023-100F,2026-06-04T00:57:38.467584,15.39072057,.00075061,99.4476,190.0097,90.1093,270.1006,0,U,57391,999,15922,.72838068E-3,.28179E-3,0
LEMUR-2-BASS,2023-174D,2026-06-04T01:03:58.802112,15.42640730,.00067084,97.3846,239.5780,205.8379,154.2535,0,U,58259,999,14333,.43878358E-3,.19056E-3,0
