OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-1008,2019-074B,2026-07-07T09:51:23.800896,15.52776777,.0003163,53.1509,331.7165,284.4813,75.5847,0,U,44714,999,36735,.95237E-3,.59935E-3,0
STARLINK-1012,2019-074F,2026-07-07T12:44:52.561824,15.53110834,.000367,53.1555,331.3662,289.3024,70.7589,0,U,44718,999,36736,.83181E-3,.52883E-3,0
STARLINK-1017,2019-074L,2026-07-07T09:59:49.546752,15.33801265,.000177,53.0477,334.8496,108.3355,251.7839,0,U,44723,999,36728,.11294E-2,.37256E-3,0
STARLINK-1020,2019-074N,2026-07-07T12:18:42.408576,15.58873072,.0004783,53.1565,354.3348,222.9791,137.0849,0,U,44725,999,36702,-.12467E-2,-.97695E-3,0
STARLINK-1036,2019-074AE,2026-07-07T09:38:46.529088,15.76516131,.0002139,53.0429,320.0895,354.8829,5.2168,0,U,44741,999,36748,.39306E-3,.63564E-3,0
STARLINK-1039,2019-074AH,2026-07-06T23:32:01.247136,15.30724342,.0002735,53.0580,22.9235,143.9623,216.1561,0,U,44744,999,36657,.11537E-2,.34532E-3,0
STARLINK-1042,2019-074AL,2026-07-07T04:16:24.569760,15.55598301,.000078,53.0402,238.9436,68.8920,291.2173,0,U,44747,999,36863,.22972E-3,.15575E-3,0
STARLINK-1043,2019-074AM,2026-07-07T14:00:01.999008,15.66632457,.000121,53.0486,331.4027,2.3492,238.4900,0,U,44748,999,606,.65231E-3,.69708E-3,0
STARLINK-1046,2019-074AQ,2026-07-07T12:23:26.104704,15.59227608,.0004441,53.0465,354.8448,187.1188,172.9762,0,U,44751,999,36701,.90363E-3,.72395E-3,0
STARLINK-1047,2019-074AR,2026-07-07T08:00:03.000384,15.35038899,.0001995,53.0698,305.9792,190.9572,235.2861,0,U,44752,999,594,.79778E-3,.27231E-3,0
STARLINK-1048,2019-074AS,2026-07-07T08:12:18.853632,15.70582872,.0002324,53.0428,303.2564,129.3226,230.7997,0,U,44753,999,36771,.37496E-3,.46785E-3,0
STARLINK-1063,2019-074BH,2026-07-07T11:42:45.404928,15.52852352,.0001599,53.1545,12.3829,243.8067,116.2780,0,U,44768,999,36680,.10209E-2,.64488E-3,0
STARLINK-1067,2019-074BL,2026-07-07T14:00:01.999008,15.82836518,.0004686,53.0415,331.5297,312.0730,76.3774,0,U,44771,999,610,.15165E-3,.32217E-3,0
STARLINK-1068,2019-074BM,2026-07-07T14:00:01.999008,15.80584091,.0004465,53.0390,305.6171,324.0491,183.1650,0,U,44772,999,615,-.18551E-3,-.36711E-3,0
STARLINK-1114,2020-001P,2026-07-07T11:35:41.667360,15.72875832,.0001627,53.0386,105.0502,160.5093,199.5987,0,U,44927,999,35880,.36285E-3,.49914E-3,0
STARLINK-1123,2020-001S,2026-07-07T11:52:08.520384,15.62798394,.0007256,53.1395,134.2033,55.6791,304.4910,0,U,44930,999,35841,.75686E-3,.69552E-3,0
STARLINK-1094,2020-001AD,2026-07-07T11:18:13.654368,15.58254116,.0006674,53.1489,110.2880,80.4690,279.7077,0,U,44941,999,35875,.91763E-3,.70871E-3,0
STARLINK-1122,2020-001AM,2026-07-07T05:19:15.489120,15.58145514,.0006826,53.1527,112.0656,70.9113,289.2638,0,U,44949,999,35870,.48061E-3,.36569E-3,0
STARLINK-1080,2020-001AZ,2026-07-07T01:03:21.041856,15.70829933,.0002217,53.0435,67.5943,138.8989,221.2195,0,U,44961,999,35929,.37002E-3,.46644E-3,0
STARLINK-1090,2020-001BG,2026-07-07T12:58:54.213600,15.54288322,.0005401,53.1462,99.0820,83.8508,276.3118,0,U,44968,999,35891,.75303E-3,.49932E-3,0
STARLINK-1132,2020-006A,2026-07-06T00:04:37.860672,15.59441422,.000239,53.1489,46.4277,144.3107,215.8067,0,U,45044,999,35529,.49474E-3,.39551E-3,0
STARLINK-1131,2020-006D,2026-07-06T21:58:03.556416,15.56235316,.0004343,53.1529,75.5848,107.5799,252.5688,0,U,45047,999,35496,.73151E-3,.52121E-3,0
STARLINK-1134,2020-006E,2026-07-06T23:07:30.770112,15.62816406,.00062,53.0222,23.3518,182.7192,177.3789,0,U,45048,999,35567,.38705E-3,.35171E-3,0
STARLINK-1156,2020-006L,2026-07-07T03:22:22.422720,15.37735381,.0004611,53.1552,83.8841,105.3537,254.7976,0,U,45054,999,35486,.13729E-2,.51607E-3,0
STARLINK-1166,2020-006S,2026-07-07T12:09:54.127008,15.68464164,.0000608,53.0429,53.3515,123.8152,236.2922,0,U,45060,999,35530,.34854E-3,.39728E-3,0
STARLINK-1169,2020-006T,2026-07-06T21:56:30.592608,15.41172696,.0005297,53.1533,82.8054,72.8764,287.2821,0,U,45061,999,35486,.94478E-3,.39594E-3,0
STARLINK-1171,2020-006U,2026-07-07T12:22:05.438208,15.79216474,.0000321,53.0378,16.2002,10.2596,349.8430,0,U,45062,999,35582,.39072E-3,.71414E-3,0
