OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
APRIZESAT 2,2004-025A,2026-06-23T23:08:45.921696,14.38038220,.01045941,98.1020,340.5613,229.1600,130.0485,0,U,28366,999,15261,.6420922E-4,.164E-5,0
SAUDICOMSAT 1,2004-025D,2026-06-24T23:46:43.195008,14.55479251,.0032138,98.5770,186.3327,1.9874,358.1444,0,U,28369,999,16526,.8877E-4,.339E-5,0
SAUDICOMSAT 2,2004-025E,2026-06-24T23:48:16.339392,14.49984951,.0054416,98.6639,188.4589,235.3799,124.2256,0,U,28370,999,16123,.65595E-4,.209E-5,0
APRIZESAT 1,2004-025G,2026-06-25T00:20:00.827808,14.51780935,.0045476,98.6302,186.9525,130.4711,230.0461,0,U,28372,999,16304,.72676E-4,.247E-5,0
NANOSAT-1,2004-049B,2026-06-24T22:38:11.304096,14.80173165,.0002705,98.2285,312.7941,265.9586,94.1316,0,U,28493,999,15659,.12837E-3,.92E-5,0
SAUDICOMSAT 7,2007-012C,2026-06-25T03:59:10.754880,14.66116975,.0055861,98.3780,150.4611,170.1476,190.0836,0,U,31119,999,2360,.92291E-4,.465E-5,0
SAUDICOMSAT 6,2007-012E,2026-06-25T03:54:46.418400,14.62566657,.0070612,98.4101,143.8279,302.6178,56.8220,0,U,31121,999,2135,.10563E-3,.501E-5,0
SAUDICOMSAT 5,2007-012H,2026-06-25T04:43:02.035776,14.68165928,.0048714,98.3492,151.2375,100.1412,260.5292,0,U,31124,999,2477,.11839E-3,.64E-5,0
SAUDICOMSAT 3,2007-012J,2026-06-23T22:02:45.501216,14.70715646,.00398643,98.3145,150.4814,32.4873,327.8774,0,U,31125,999,2581,.12438669E-3,.713E-5,0
SAUDICOMSAT 4,2007-012L,2026-06-25T03:33:41.677056,14.64518921,.0062292,98.3986,148.8814,232.8546,126.6957,0,U,31127,999,2245,.85569E-4,.412E-5,0
APRIZESAT 4,2009-041D,2026-06-25T03:30:59.728032,14.83888656,.0042011,98.1409,251.6256,296.5869,63.1042,0,U,35684,999,91254,.77388E-4,.593E-5,0
APRIZESAT 3,2009-041F,2026-06-25T04:34:41.600064,14.96265947,.0062622,98.2074,329.7983,41.6843,318.9124,0,U,35686,999,91757,.11073E-3,.1232E-4,0
S-NET D,2018-014G,2026-06-23T23:50:25.401120,15.16727237,.00082187,97.5358,79.7411,8.7119,351.4256,0,U,43186,999,45979,.21438958E-3,.4138E-4,0
S-NET B,2018-014H,2026-06-24T04:52:07.076352,15.16699503,.00086285,97.5364,79.9363,2.2761,357.8510,0,U,43187,999,45982,.23506124E-3,.4541E-4,0
S-NET A,2018-014J,2026-06-24T04:33:45.391680,15.16737154,.00085461,97.5375,80.1335,3.4432,356.6858,0,U,43188,999,45982,.21139469E-3,.4081E-4,0
S-NET C,2018-014K,2026-06-24T04:57:45.036864,15.16691363,.00096359,97.5391,80.2262,354.0800,6.0317,0,U,43189,999,45837,.23731679E-3,.4585E-4,0
SALSAT,2020-068K,2026-06-24T23:51:59.462208,15.29898993,.0007812,97.8853,179.5347,274.8629,85.1718,0,U,46495,999,31655,.27767E-3,.7962E-4,0
OOV-CUBE (TUBSAT-30),2024-128F,2026-06-25T04:09:21.393792,15.02799692,.0043642,61.9924,197.7253,135.5486,224.9121,0,U,60240,999,10731,.13303E-3,.1609E-4,0
LPNTSAT-001 (IOD-1),2026-065A,2026-06-25T04:21:41.338080,15.18575018,.001581,97.4014,56.5221,342.6313,17.4378,0,U,68408,999,1347,.13604E-3,.2752E-4,0
